,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
4,203078,82,79,Less Than 10 Ft,0.336,2.44,3.89,0.627,0.564,0.063
5,203078,82,81,Greater Than 15 Ft,0.596,2.54,6.9,0.367,0.373,-0.006
0,101139,70,70,Overall,1.0,1.89,4.51,0.418,0.446,-0.028
1,101139,70,64,3 Pointers,0.43,0.61,1.94,0.316,0.355,-0.039
2,101139,70,65,2 Pointers,0.57,1.27,2.57,0.494,0.503,-0.009
3,101139,70,42,Less Than 6 Ft,0.225,0.71,1.01,0.704,0.627,0.077
4,101139,70,55,Less Than 10 Ft,0.37,0.9,1.67,0.538,0.562,-0.024
5,101139,70,67,Greater Than 15 Ft,0.566,0.9,2.56,0.352,0.363,-0.011
0,202722,67,67,Overall,1.0,2.76,6.66,0.415,0.46,-0.045
1,202722,67,48,3 Pointers,0.305,0.6,2.03,0.294,0.348,-0.054
2,202722,67,64,2 Pointers,0.695,2.16,4.63,0.468,0.515,-0.047
3,202722,67,56,Less Than 6 Ft,0.401,1.49,2.67,0.559,0.613,-0.054
4,202722,67,62,Less Than 10 Ft,0.493,1.72,3.28,0.523,0.564,-0.041
5,202722,67,54,Greater Than 15 Ft,0.428,0.91,2.85,0.319,0.361,-0.041
0,1627780,20,20,Overall,1.0,2.35,4.3,0.547,0.448,0.099
1,1627780,20,16,3 Pointers,0.291,0.55,1.25,0.44,0.365,0.075
2,1627780,20,17,2 Pointers,0.709,1.8,3.05,0.59,0.495,0.095
3,1627780,20,13,Less Than 6 Ft,0.349,0.9,1.5,0.6,0.607,-0.007
4,1627780,20,16,Less Than 10 Ft,0.465,1.15,2.0,0.575,0.556,0.019
5,1627780,20,16,Greater Than 15 Ft,0.453,0.9,1.95,0.462,0.381,0.08
0,101133,77,77,Overall,1.0,3.13,6.96,0.45,0.475,-0.025
1,101133,77,55,3 Pointers,0.211,0.45,1.47,0.31,0.354,-0.044
2,101133,77,76,2 Pointers,0.789,2.68,5.49,0.487,0.521,-0.034
3,101133,77,76,Less Than 6 Ft,0.42,1.66,2.92,0.569,0.616,-0.047
4,101133,77,76,Less Than 10 Ft,0.584,2.04,4.06,0.502,0.568,-0.066
5,101133,77,66,Greater Than 15 Ft,0.347,0.86,2.42,0.355,0.371,-0.016
0,202738,31,31,Overall,1.0,3.9,9.1,0.429,0.454,-0.025
1,202738,31,31,3 Pointers,0.397,1.23,3.61,0.339,0.368,-0.028
2,202738,31,30,2 Pointers,0.603,2.68,5.48,0.488,0.504,-0.015
3,202738,31,23,Less Than 6 Ft,0.202,1.42,1.84,0.772,0.616,0.156
4,202738,31,29,Less Than 10 Ft,0.333,2.0,3.03,0.66,0.563,0.097
5,202738,31,31,Greater Than 15 Ft,0.574,1.71,5.23,0.327,0.383,-0.056
0,202397,81,81,Overall,1.0,3.9,9.09,0.429,0.447,-0.017
1,202397,81,76,3 Pointers,0.409,1.27,3.72,0.342,0.36,-0.018
2,202397,81,81,2 Pointers,0.591,2.63,5.37,0.49,0.497,-0.007
3,202397,81,67,Less Than 6 Ft,0.228,1.31,2.07,0.631,0.607,0.024
4,202397,81,76,Less Than 10 Ft,0.326,1.75,2.96,0.592,0.557,0.035
5,202397,81,79,Greater Than 15 Ft,0.568,1.75,5.16,0.34,0.373,-0.033
0,1628418,13,13,Overall,1.0,1.54,2.46,0.625,0.49,0.135
1,1628418,13,3,3 Pointers,0.156,0.08,0.38,0.2,0.355,-0.155
2,1628418,13,12,2 Pointers,0.844,1.46,2.08,0.704,0.539,0.164
3,1628418,13,9,Less Than 6 Ft,0.625,1.15,1.54,0.75,0.667,0.083
