PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
201565,0.696,0.304,0.466,0.432,0.297,2.32,0.68,1.12,1.56,1.16,4.12,1.8,2.76,2.56,1.76,0.056,0.021,0.034,0.042,0.041
201566,0.598,0.402,0.543,0.378,0.311,2.5,1.18,1.6,1.77,1.55,4.88,3.28,4.44,3.09,2.54,0.002,-0.005,-0.016,0.008,-0.007
201567,0.789,0.211,0.315,0.605,0.467,5.32,1.02,1.56,4.24,3.59,9.46,2.53,3.78,7.25,5.59,0.045,0.032,0.03,0.012,0.016
201568,0.648,0.352,0.502,0.431,0.324,3.81,1.48,2.05,2.76,2.29,7.81,4.24,6.05,5.19,3.9,-0.022,-0.023,-0.04,-0.036,-0.037
201569,0.525,0.475,0.607,0.305,0.192,1.96,1.1,1.48,1.36,1.01,3.97,3.59,4.59,2.3,1.45,-0.012,-0.053,-0.05,0.031,0.085
201571,0.602,0.398,0.602,0.283,0.196,2.0,1.0,1.53,1.15,0.92,3.91,2.58,3.91,1.84,1.27,0.025,0.033,0.025,0.08,0.119
201572,0.794,0.206,0.346,0.57,0.426,4.56,0.93,1.76,3.33,2.78,9.51,2.47,4.15,6.83,5.11,-0.039,0.02,0.05,-0.085,-0.082
201577,0.823,0.177,0.358,0.569,0.429,5.03,0.78,1.79,3.62,2.84,9.87,2.13,4.3,6.83,5.14,-0.017,0.003,0.041,-0.044,-0.072
201580,0.783,0.217,0.386,0.568,0.434,2.23,0.43,0.8,1.72,1.34,4.49,1.25,2.22,3.26,2.49,-0.012,0.0,-0.001,-0.033,-0.073
201583,0.723,0.277,0.44,0.48,0.352,3.06,1.02,1.42,2.35,1.98,6.59,2.53,4.02,4.38,3.21,-0.039,0.042,-0.015,-0.019,0.01
201584,0.565,0.435,0.634,0.289,0.203,2.52,1.35,2.0,1.6,1.31,4.77,3.68,5.36,2.44,1.72,0.025,0.0,-0.006,0.093,0.141
201586,0.723,0.277,0.437,0.493,0.397,3.89,1.14,1.86,2.83,2.45,7.68,2.95,4.64,5.24,4.22,-0.001,0.03,0.028,-0.025,-0.043
201587,0.615,0.385,0.571,0.339,0.261,2.56,1.42,2.08,1.66,1.36,5.05,3.16,4.69,2.78,2.14,0.003,0.081,0.063,0.03,0.017
201588,0.554,0.446,0.58,0.364,0.272,2.48,1.4,1.79,1.94,1.61,4.75,3.82,4.97,3.12,2.33,0.016,0.004,-0.013,0.057,0.068
201599,0.782,0.218,0.389,0.514,0.373,4.63,0.92,1.74,3.34,2.75,9.49,2.64,4.72,6.24,4.53,-0.036,-0.007,-0.007,-0.038,-0.015
201609,0.709,0.291,0.434,0.465,0.311,2.64,0.83,1.31,1.94,1.53,5.99,2.46,3.67,3.93,2.63,-0.055,-0.027,-0.021,-0.057,-0.026
201933,0.619,0.381,0.522,0.391,0.327,4.41,1.81,2.62,3.1,2.71,8.71,5.36,7.34,5.5,4.6,-0.009,-0.024,-0.014,-0.003,-0.034
201935,0.607,0.393,0.526,0.39,0.282,3.82,1.89,2.53,2.86,2.29,7.49,4.85,6.49,4.81,3.47,-0.002,0.026,0.017,0.026,0.038
201937,0.663,0.337,0.543,0.345,0.255,3.34,1.35,2.16,2.13,1.73,6.22,3.16,5.09,3.23,2.39,0.037,0.074,0.052,0.094,0.105
201939,0.59,0.41,0.56,0.355,0.24,2.75,1.27,1.75,2.0,1.57,5.02,3.49,4.76,3.02,2.04,0.052,0.005,-0.005,0.114,0.166
201942,0.633,0.367,0.545,0.338,0.238,2.21,1.05,1.53,1.39,1.15,4.61,2.68,3.98,2.46,1.74,-0.022,0.026,0.005,0.001,0.043
201949,0.632,0.368,0.501,0.431,0.314,3.14,1.24,1.85,2.21,1.83,6.15,3.58,4.87,4.2,3.06,-0.006,-0.015,0.003,-0.042,-0.022
201950,0.544,0.456,0.64,0.281,0.215,3.79,2.28,3.31,2.34,2.05,7.74,6.48,9.1,4.0,3.06,-0.014,-0.012,-0.011,0.023,0.058
201952,0.563,0.437,0.596,0.313,0.236,2.91,1.53,2.24,1.84,1.56,5.34,4.14,5.66,2.97,2.24,0.047,0.011,0.023,0.066,0.087
201959,0.649,0.351,0.507,0.435,0.35,4.24,1.7,2.45,3.22,2.76,8.27,4.48,6.46,5.55,4.46,-0.004,0.019,0.008,0.008,-0.002
201960,0.717,0.283,0.439,0.478,0.395,4.18,1.21,1.97,3.07,2.72,8.13,3.21,4.97,5.42,4.48,0.002,0.01,0.018,-0.006,-0.023
201961,0.55,0.45,0.588,0.316,0.213,1.93,1.27,1.64,1.23,0.93,3.83,3.13,4.09,2.2,1.48,0.003,0.039,0.023,-0.005,0.008
201976,0.579,0.421,0.632,0.237,0.175,3.45,1.73,3.0,1.36,1.09,6.0,4.36,6.55,2.45,1.82,0.089,0.053,0.084,0.011,-0.005
201980,0.671,0.329,0.473,0.435,0.321,3.79,1.23,1.84,2.79,2.29,7.39,3.61,5.2,4.79,3.53,0.002,-0.024,-0.023,0.014,0.025
201988,0.595,0.405,0.602,0.29,0.19,2.18,0.98,1.61,1.2,0.85,4.05,2.76,4.1,1.98,1.29,0.041,-0.004,0.022,0.04,0.038
202066,0.519,0.481,0.617,0.337,0.25,2.06,1.54,1.97,1.46,1.26,4.15,3.85,4.94,2.69,2.0,-0.008,0.035,0.027,-0.017,0.019
202083,0.567,0.433,0.639,0.248,0.15,2.55,1.26,2.0,1.29,0.98,4.94,3.77,5.56,2.16,1.31,0.011,-0.032,-0.018,0.027,0.129
202323,0.624,0.376,0.56,0.326,0.228,2.59,1.14,1.9,1.5,1.1,5.35,3.22,4.79,2.79,1.95,-0.02,-0.012,0.019,-0.024,-0.045
202324,0.779,0.221,0.373,0.548,0.437,4.32,0.96,1.61,3.27,2.73,9.35,2.65,4.48,6.57,5.25,-0.056,0.002,-0.013,-0.072,-0.104
202329,0.689,0.311,0.457,0.475,0.361,3.99,1.25,2.03,2.88,2.34,8.03,3.62,5.32,5.53,4.21,-0.029,-0.018,0.006,-0.059,-0.074
202330,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.527,0.0,0.0,0.455,0.368
202331,0.582,0.418,0.534,0.4,0.324,4.04,2.03,2.55,3.18,2.78,7.15,5.13,6.56,4.91,3.97,0.046,0.028,0.01,0.072,0.07
202334,0.843,0.157,0.274,0.661,0.509,3.38,0.51,0.88,2.78,2.3,6.82,1.27,2.22,5.35,4.12,-0.029,0.043,0.023,-0.049,-0.06
202335,0.708,0.292,0.438,0.489,0.361,2.09,0.64,1.04,1.58,1.32,4.1,1.69,2.54,2.83,2.09,-0.004,0.018,0.04,-0.007,0.016
202339,0.579,0.421,0.555,0.361,0.281,2.82,1.7,2.11,2.08,1.77,5.86,4.26,5.62,3.66,2.85,-0.017,0.037,0.0,0.016,0.014
202340,0.529,0.471,0.627,0.293,0.21,2.54,1.63,2.2,1.63,1.39,4.72,4.2,5.59,2.61,1.87,0.029,0.024,0.013,0.056,0.125
202355,0.875,0.125,0.229,0.709,0.548,4.46,0.57,1.11,3.7,3.15,9.35,1.33,2.44,7.57,5.85,-0.051,0.075,0.082,-0.088,-0.089
202357,0.676,0.324,0.443,0.496,0.403,2.94,0.91,1.3,2.39,2.13,5.76,2.76,3.78,4.22,3.43,-0.002,-0.037,-0.031,0.006,0.014
202397,0.591,0.409,0.568,0.326,0.228,2.63,1.27,1.75,1.75,1.31,5.37,3.72,5.16,2.96,2.07,-0.007,-0.018,-0.033,0.035,0.024
202681,0.648,0.352,0.519,0.368,0.274,3.31,1.18,1.8,2.2,1.89,6.05,3.29,4.85,3.44,2.56,0.046,-0.008,-0.007,0.082,0.132
202683,0.838,0.162,0.307,0.609,0.454,5.51,0.89,1.74,4.1,3.37,10.31,2.0,3.79,7.5,5.59,0.016,0.082,0.083,-0.023,-0.018
202684,0.736,0.264,0.431,0.475,0.374,4.15,1.09,1.87,2.92,2.55,7.57,2.72,4.43,4.89,3.85,0.037,0.036,0.045,0.037,0.046
202685,0.883,0.117,0.249,0.658,0.487,5.01,0.55,1.28,3.82,3.16,10.38,1.38,2.93,7.74,5.72,-0.041,0.047,0.066,-0.076,-0.068
202687,0.837,0.163,0.266,0.67,0.533,3.39,0.51,0.93,2.78,2.41,6.9,1.34,2.2,5.52,4.39,-0.024,0.013,0.042,-0.059,-0.062
202689,0.604,0.396,0.585,0.282,0.18,4.01,1.89,2.98,2.13,1.66,8.21,5.38,7.95,3.84,2.45,-0.004,-0.011,-0.004,0.001,0.067
202692,0.595,0.405,0.542,0.39,0.33,1.42,0.74,1.08,0.95,0.89,2.53,1.73,2.31,1.66,1.4,0.062,0.066,0.093,0.018,0.028
202693,0.675,0.325,0.463,0.481,0.374,3.56,1.12,1.59,2.89,2.34,6.82,3.29,4.68,4.86,3.78,0.003,-0.024,-0.034,0.024,-0.004
202694,0.673,0.327,0.496,0.434,0.321,3.23,0.96,1.48,2.52,2.1,6.06,2.94,4.46,3.9,2.88,0.015,-0.028,-0.038,0.07,0.105
202695,0.597,0.403,0.522,0.448,0.373,2.22,0.67,0.89,1.89,1.44,4.44,3.0,3.89,3.33,2.78,-0.008,-0.142,-0.153,0.01,-0.087
202696,0.821,0.179,0.299,0.623,0.48,6.65,0.93,1.68,5.32,4.4,11.91,2.6,4.33,9.04,6.96,0.035,0.008,0.015,0.02,0.014
202697,0.543,0.457,0.598,0.391,0.337,2.21,1.14,1.71,1.64,1.64,3.57,3.0,3.93,2.57,2.21,0.117,0.018,0.064,0.088,0.141
202699,0.64,0.36,0.479,0.446,0.344,4.82,1.85,2.47,3.78,3.11,9.01,5.06,6.75,6.28,4.84,0.016,0.006,-0.007,0.028,0.018
202704,0.545,0.455,0.646,0.265,0.182,2.58,1.56,2.38,1.44,1.09,4.8,4.0,5.69,2.33,1.6,0.033,0.02,0.042,0.052,0.058
202709,0.557,0.443,0.615,0.311,0.216,2.87,1.49,2.24,1.76,1.32,5.35,4.26,5.91,2.99,2.07,0.042,-0.012,0.003,0.041,0.031
202710,0.593,0.407,0.536,0.388,0.319,3.22,1.49,1.98,2.39,2.15,6.34,4.36,5.73,4.15,3.41,-0.002,-0.016,-0.025,0.01,0.017
202711,0.602,0.398,0.585,0.342,0.239,3.0,1.34,1.99,2.06,1.62,5.54,3.67,5.39,3.15,2.2,0.033,0.009,-0.002,0.088,0.115
202718,0.614,0.386,0.527,0.364,0.266,1.79,0.91,1.26,1.24,1.09,3.32,2.09,2.85,1.97,1.44,0.035,0.064,0.068,0.071,0.144
202722,0.695,0.305,0.428,0.493,0.401,2.16,0.6,0.91,1.72,1.49,4.63,2.03,2.85,3.28,2.67,-0.047,-0.054,-0.041,-0.041,-0.054
202734,0.667,0.333,0.523,0.374,0.282,3.6,1.29,2.06,2.35,1.91,6.61,3.3,5.18,3.71,2.79,0.042,0.028,0.021,0.069,0.069
202738,0.603,0.397,0.574,0.333,0.202,2.68,1.23,1.71,2.0,1.42,5.48,3.61,5.23,3.03,1.84,-0.015,-0.028,-0.056,0.097,0.156
203076,0.697,0.303,0.447,0.491,0.395,4.92,1.6,2.37,3.83,3.33,11.47,4.99,7.35,8.08,6.49,-0.087,-0.041,-0.052,-0.096,-0.107
203077,0.641,0.359,0.529,0.388,0.306,3.43,1.64,2.35,2.27,1.96,6.96,3.91,5.74,4.22,3.32,-0.018,0.055,0.031,-0.034,-0.038
203078,0.55,0.45,0.596,0.336,0.266,3.41,1.83,2.54,2.44,2.13,6.37,5.21,6.9,3.89,3.07,0.035,-0.01,-0.006,0.063,0.076
203079,0.653,0.347,0.506,0.422,0.299,3.79,1.34,2.1,2.79,2.17,6.93,3.69,5.38,4.48,3.17,0.049,-0.009,0.008,0.063,0.071
203081,0.601,0.399,0.598,0.269,0.191,2.81,1.48,2.21,1.49,1.22,6.19,4.11,6.16,2.77,1.97,-0.034,0.002,-0.012,-0.013,0.01
203082,0.632,0.368,0.525,0.412,0.333,2.58,1.0,1.58,1.96,1.71,5.38,3.13,4.46,3.5,2.83,-0.015,-0.054,-0.022,0.003,-0.001
203083,0.824,0.176,0.293,0.647,0.507,5.27,0.9,1.49,4.45,3.74,10.41,2.22,3.71,8.17,6.4,-0.022,0.049,0.025,-0.028,-0.037
203084,0.625,0.375,0.519,0.394,0.265,3.36,1.38,1.94,2.38,1.87,6.68,4.0,5.55,4.21,2.83,-0.012,-0.008,-0.014,-0.008,0.039
203085,0.622,0.378,0.543,0.355,0.257,3.2,1.35,2.05,2.07,1.65,6.1,3.7,5.32,3.48,2.52,0.019,0.0,0.011,0.023,0.029
203086,0.737,0.263,0.374,0.556,0.455,1.63,0.44,0.74,1.19,0.93,2.7,0.96,1.37,2.04,1.67,0.076,0.108,0.163,0.017,-0.045
203087,0.53,0.47,0.647,0.296,0.215,2.34,1.53,1.98,1.68,1.38,4.65,4.13,5.68,2.6,1.89,0.008,0.007,-0.023,0.087,0.114
203089,0.836,0.164,0.297,0.615,0.513,4.95,0.73,1.29,3.96,3.48,9.93,1.95,3.53,7.31,6.09,-0.018,0.018,-0.007,-0.023,-0.046
203090,0.604,0.396,0.558,0.371,0.253,2.03,0.91,1.53,1.16,0.93,4.24,2.78,3.91,2.6,1.78,-0.026,-0.037,0.016,-0.127,-0.101
203095,0.623,0.377,0.514,0.407,0.309,3.33,1.3,1.95,2.4,2.02,5.91,3.58,4.88,3.86,2.93,0.054,-0.002,0.025,0.056,0.071
203107,0.59,0.41,0.543,0.368,0.295,2.3,0.89,1.36,1.64,1.43,4.37,3.04,4.03,2.73,2.19,0.031,-0.067,-0.035,0.049,0.049
203109,0.61,0.39,0.521,0.409,0.304,2.89,1.46,1.94,2.1,1.79,5.64,3.6,4.81,3.78,2.81,0.007,0.042,0.029,-0.011,0.015
203110,0.677,0.323,0.46,0.467,0.371,4.49,1.56,2.24,3.4,2.86,9.54,4.56,6.49,6.59,5.23,-0.044,-0.015,-0.025,-0.05,-0.07
203114,0.57,0.43,0.582,0.357,0.278,3.12,1.85,2.47,2.28,2.0,6.07,4.58,6.2,3.8,2.96,0.006,0.043,0.031,0.031,0.052
203115,0.602,0.398,0.52,0.403,0.311,3.03,1.36,1.88,2.2,1.81,5.59,3.69,4.83,3.74,2.89,0.043,0.005,0.013,0.032,0.017
203118,0.649,0.351,0.501,0.42,0.3,1.93,0.63,0.95,1.43,1.12,3.7,2.0,2.86,2.39,1.71,0.018,-0.047,-0.038,0.039,0.046
203124,0.808,0.192,0.355,0.582,0.464,3.24,0.54,1.13,2.42,2.04,6.68,1.59,2.93,4.82,3.84,-0.039,-0.02,0.013,-0.071,-0.093
203145,0.595,0.405,0.552,0.343,0.27,2.75,1.5,2.05,1.78,1.48,5.23,3.56,4.86,3.02,2.38,0.019,0.058,0.045,0.022,0.003
203200,0.562,0.438,0.606,0.325,0.245,3.06,1.75,2.42,2.1,1.71,6.13,4.78,6.61,3.54,2.67,-0.005,-0.004,-0.013,0.024,0.02
203210,0.636,0.364,0.535,0.393,0.298,2.56,1.22,1.71,1.84,1.56,5.47,3.13,4.6,3.38,2.56,-0.052,0.025,-0.004,-0.034,-0.017
203382,0.84,0.16,0.288,0.606,0.43,4.04,0.36,0.84,3.17,2.52,8.25,1.57,2.83,5.95,4.22,-0.029,-0.133,-0.075,-0.035,-0.021
203457,0.778,0.222,0.396,0.547,0.439,3.04,0.74,1.22,2.3,2.0,6.11,1.74,3.11,4.3,3.44,-0.024,0.066,0.017,-0.042,-0.049
203458,0.845,0.155,0.287,0.651,0.531,4.35,0.65,1.23,3.48,3.04,8.67,1.59,2.94,6.68,5.45,-0.023,0.063,0.05,-0.052,-0.062
203459,0.677,0.323,0.55,0.341,0.229,2.68,0.9,1.68,1.49,1.22,5.71,2.73,4.64,2.88,1.93,-0.022,-0.038,-0.017,-0.035,0.023
203463,0.562,0.438,0.559,0.366,0.297,1.96,1.18,1.49,1.42,1.27,3.55,2.76,3.53,2.31,1.87,0.049,0.068,0.049,0.046,0.065
203468,0.637,0.363,0.577,0.289,0.192,3.39,1.46,2.35,1.76,1.39,7.05,4.03,6.39,3.2,2.13,-0.016,-0.003,-0.01,-0.005,0.041
203469,0.841,0.159,0.318,0.582,0.445,2.73,0.15,0.45,2.09,1.76,5.61,1.06,2.12,3.88,2.97,-0.027,-0.204,-0.147,-0.025,-0.017
203471,0.56,0.44,0.617,0.295,0.228,3.24,1.76,2.58,2.0,1.74,5.76,4.53,6.35,3.03,2.35,0.063,0.022,0.027,0.099,0.121
203473,0.684,0.316,0.468,0.466,0.359,3.56,1.15,1.83,2.56,2.07,7.24,3.34,4.95,4.93,3.8,-0.029,-0.012,-0.004,-0.049,-0.075
