,PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus,Player,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
11,101133,0.789,0.211,0.34700000000000003,0.584,0.42,2.68,0.45,0.86,2.04,1.66,5.49,1.47,2.42,4.06,2.92,-0.034,-0.044,-0.016,-0.066,-0.047,Ian Mahinmi,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,19.0,75.0,C,0.192,0.5379999999999999,2.1,3.7,1.3,0.8,1.2,1.2,3.0,7.4
12,101139,0.57,0.43,0.5660000000000001,0.37,0.225,1.27,0.61,0.9,0.9,0.71,2.57,1.94,2.56,1.67,1.01,-0.009000000000000001,-0.039,-0.011,-0.024,0.077,CJ Miles,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,SG,0.314,0.33299999999999996,0.4,0.8,1.2,1.0,0.4,0.4,1.4,6.4
13,101150,0.525,0.475,0.65,0.269,0.215,2.32,1.35,2.0,1.5,1.28,4.36,3.95,5.4,2.23,1.78,0.029,-0.017,-0.001,0.109,0.103,Lou Williams,13.0,11.0,38.0,19.0,21.0,4.0,0.0,15.0,2.0,33.0,0.0,20.0,6.0,10.0,6.0,1.0,14.0,18.0,45.0,111.0,SG,0.363,0.442,0.5,2.6,5.7,0.7,0.2,2.9,1.3,18.7
14,200746,0.755,0.245,0.431,0.488,0.345,4.64,1.26,2.23,3.08,2.42,10.18,3.3,5.81,6.58,4.65,-0.064,0.02,0.01,-0.101,-0.099,LaMarcus Aldridge,10.0,1.0,17.0,14.0,19.0,0.0,0.0,13.0,7.0,19.0,0.0,43.0,14.0,20.0,6.0,1.0,36.0,17.0,29.0,128.0,C,0.389,0.519,1.9,5.5,2.4,0.7,1.6,1.4,2.4,18.9
15,200752,0.633,0.3670000000000001,0.503,0.438,0.339,2.37,1.09,1.49,1.79,1.46,5.14,2.98,4.09,3.56,2.75,-0.044,0.001,-0.005,-0.063,-0.084,Rudy Gay,8.0,9.0,13.0,20.0,7.0,1.0,0.0,3.0,1.0,10.0,1.0,16.0,12.0,1.0,2.0,1.0,14.0,23.0,22.0,64.0,PF,0.314,0.517,0.9,4.4,1.7,0.4,0.5,1.3,1.5,10.0
16,200755,0.586,0.414,0.599,0.287,0.185,2.3,1.17,1.72,1.39,1.04,4.59,3.25,4.7,2.25,1.45,0.003,-0.001,-0.011,0.061,0.102,JJ Redick,7.0,23.0,43.0,52.0,30.0,1.0,0.0,4.0,6.0,33.0,6.0,3.0,3.0,1.0,5.0,4.0,12.0,6.0,3.0,26.0,SG,0.452,0.446,0.2,2.4,2.0,0.4,0.2,1.2,1.6,14.9
17,200757,0.612,0.388,0.519,0.395,0.285,2.47,1.11,1.37,1.89,1.47,4.68,2.97,3.97,3.03,2.18,0.01,0.014,-0.028,0.045,0.04,Thabo Sefolosha,5.0,5.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,PF,0.278,0.595,0.5,1.8,0.6,0.6,0.3,0.4,1.0,2.2
18,200765,0.5660000000000001,0.434,0.597,0.315,0.232,2.38,1.11,1.66,1.52,1.22,4.08,3.13,4.3,2.27,1.67,0.08800000000000001,-0.003,0.014,0.111,0.123,Rajon Rondo,3.0,6.0,18.0,7.0,6.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,6.0,9.0,69.0,PG,0.32799999999999996,0.473,0.5,2.5,5.0,0.8,0.0,1.9,1.2,7.1
19,200768,0.636,0.364,0.535,0.345,0.261,3.39,1.31,2.09,2.08,1.73,6.94,3.97,5.83,3.77,2.84,-0.006,-0.035,-0.019,-0.002,0.001,Kyle Lowry,10.0,2.0,52.0,38.0,42.0,9.0,0.0,1.0,1.0,31.0,0.0,1.0,3.0,2.0,0.0,3.0,12.0,10.0,16.0,103.0,PG,0.354,0.505,0.6,4.3,7.7,1.3,0.4,3.0,3.2,19.7
20,200782,0.638,0.362,0.4920000000000001,0.436,0.343,3.56,1.27,1.78,2.7,2.28,6.2,3.51,4.78,4.23,3.33,0.065,0.003,0.004,0.071,0.066,PJ Tucker,41.0,39.0,6.0,4.0,5.0,0.0,0.0,2.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,12.0,42.0,PF,0.37,0.573,1.6,5.3,1.6,1.1,0.5,1.0,3.3,7.1
21,200794,0.7090000000000001,0.29100000000000004,0.419,0.509,0.411,4.59,1.51,2.22,3.43,2.78,10.05,4.14,5.95,7.22,5.84,-0.061,0.004,0.0,-0.097,-0.14400000000000002,Paul Millsap,5.0,8.0,13.0,11.0,10.0,0.0,0.0,1.0,3.0,7.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,22.0,95.0,PF,0.44,0.504,2.0,3.9,1.6,0.9,0.6,1.4,2.9,12.0
22,200826,0.5660000000000001,0.434,0.637,0.259,0.153,2.34,1.34,2.03,1.29,0.9,4.18,3.21,4.71,1.91,1.13,0.073,0.059,0.062,0.121,0.184,JJ Barea,3.0,1.0,10.0,10.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,7.0,28.0,PG,0.382,0.4370000000000001,0.4,1.5,3.8,0.2,0.1,1.3,1.0,7.5
23,201143,0.75,0.25,0.4270000000000001,0.49,0.35700000000000004,5.01,1.26,2.25,3.62,2.93,11.51,3.83,6.55,7.51,5.48,-0.076,-0.032,-0.031,-0.087,-0.087,Al Horford,4.0,5.0,20.0,23.0,37.0,0.0,0.0,7.0,3.0,13.0,0.0,8.0,17.0,0.0,4.0,1.0,21.0,9.0,29.0,97.0,C,0.337,0.513,1.5,5.3,4.1,0.9,0.9,1.1,2.1,12.0
24,201144,0.555,0.445,0.63,0.277,0.218,2.5,1.42,2.0,1.75,1.42,5.5,4.42,6.25,2.75,2.17,-0.046,-0.046,-0.047,0.08199999999999999,0.036000000000000004,Mike Conley,9.0,13.0,17.0,27.0,12.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,4.0,3.0,2.0,1.0,3.0,21.0,27.0,48.0,PG,0.376,0.429,0.7,2.6,4.3,0.8,0.1,1.9,2.2,13.8
25,201145,0.627,0.373,0.513,0.4320000000000001,0.319,3.13,1.22,1.79,2.36,1.87,5.99,3.56,4.9,4.13,3.05,0.01,-0.015,-0.003,0.006,-0.002,Jeff Green,11.0,10.0,6.0,15.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,51.0,PF,0.348,0.5529999999999999,0.6,2.3,0.8,0.5,0.4,0.9,1.6,8.4
26,201152,0.595,0.405,0.552,0.37,0.275,3.98,1.86,2.53,2.85,2.3,7.57,5.15,7.02,4.7,3.49,0.006,0.0,-0.013,0.03,0.025,Thaddeus Young,29.0,6.0,19.0,14.0,11.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,47.0,130.0,PF,0.35600000000000004,0.501,1.5,3.5,1.8,1.4,0.4,1.6,2.1,10.3
27,201158,0.518,0.482,0.634,0.287,0.191,1.89,1.16,1.61,1.23,1.01,3.41,3.16,4.16,1.89,1.25,0.053,0.012,0.019,0.085,0.19,Marco Belinelli,4.0,9.0,13.0,11.0,20.0,0.0,0.0,3.0,0.0,12.0,2.0,1.0,1.0,1.0,2.0,0.0,13.0,2.0,2.0,14.0,SG,0.368,0.42200000000000004,0.1,1.7,1.2,0.2,0.0,0.3,0.8,5.8
28,201162,0.622,0.378,0.496,0.435,0.329,2.15,0.68,0.96,1.64,1.34,3.26,1.98,2.6,2.28,1.72,0.149,-0.004,0.006,0.153,0.158,Jared Dudley,2.0,4.0,2.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,SF,0.47100000000000003,0.25,0.1,1.0,0.5,0.3,0.1,0.2,0.9,1.5
29,201163,0.597,0.403,0.555,0.361,0.272,2.62,1.38,2.03,1.68,1.41,5.61,3.78,5.22,3.39,2.55,-0.041,0.003,0.015,-0.076,-0.07200000000000001,Wilson Chandler,5.0,7.0,3.0,15.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,15.0,15.0,SF,0.306,0.597,0.3,3.8,1.1,0.5,0.3,1.0,2.3,5.9
30,201188,0.8340000000000001,0.166,0.316,0.631,0.53,5.07,0.74,1.4,4.19,3.82,10.36,2.07,3.93,7.84,6.59,-0.037000000000000005,-0.008,-0.02,-0.041,-0.044,Marc Gasol,3.0,3.0,11.0,5.0,28.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,14.0,24.0,C,0.402,0.44,0.8,5.5,3.4,0.8,0.9,1.2,2.8,7.6
31,201229,0.66,0.34,0.479,0.438,0.331,2.65,0.95,1.43,1.89,1.56,5.7,2.94,4.14,3.78,2.86,-0.047,-0.034,-0.022,-0.071,-0.075,Anthony Tolliver,5.0,9.0,6.0,11.0,7.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,PF,0.322,0.441,0.6,2.2,0.7,0.3,0.2,0.6,1.4,3.5
32,201565,0.696,0.304,0.466,0.4320000000000001,0.297,2.32,0.68,1.12,1.56,1.16,4.12,1.8,2.76,2.56,1.76,0.056,0.021,0.034,0.042,0.041,Derrick Rose,3.0,6.0,20.0,9.0,7.0,0.0,0.0,1.0,0.0,14.0,0.0,11.0,14.0,2.0,8.0,2.0,16.0,26.0,62.0,174.0,PG,0.306,0.535,0.5,1.9,5.6,0.8,0.3,2.5,1.0,18.1
33,201566,0.598,0.402,0.5429999999999999,0.378,0.311,2.5,1.18,1.6,1.77,1.55,4.88,3.28,4.44,3.09,2.54,0.002,-0.005,-0.016,0.008,-0.006999999999999999,Russell Westbrook,6.0,4.0,14.0,23.0,3.0,0.0,1.0,7.0,6.0,15.0,2.0,20.0,7.0,19.0,12.0,2.0,19.0,33.0,34.0,340.0,PG,0.254,0.518,1.8,6.3,7.0,1.7,0.3,4.5,3.5,27.5
34,201567,0.789,0.211,0.315,0.605,0.467,5.32,1.02,1.56,4.24,3.59,9.46,2.53,3.78,7.25,5.59,0.045,0.032,0.03,0.012,0.016,Kevin Love,20.0,8.0,52.0,36.0,24.0,6.0,0.0,11.0,4.0,31.0,2.0,25.0,13.0,7.0,2.0,0.0,6.0,6.0,28.0,69.0,PF,0.374,0.537,1.0,8.8,3.2,0.6,0.3,2.5,1.6,17.6
35,201568,0.648,0.35200000000000004,0.502,0.431,0.324,3.81,1.48,2.05,2.76,2.29,7.81,4.24,6.05,5.19,3.9,-0.022,-0.023,-0.04,-0.036000000000000004,-0.037000000000000005,Danilo Gallinari,6.0,11.0,58.0,47.0,38.0,5.0,0.0,9.0,7.0,36.0,4.0,10.0,6.0,7.0,2.0,3.0,8.0,10.0,11.0,77.0,PF,0.409,0.474,0.6,4.9,2.1,0.7,0.1,1.3,1.2,19.2
36,201569,0.525,0.475,0.607,0.305,0.192,1.96,1.1,1.48,1.36,1.01,3.97,3.59,4.59,2.3,1.45,-0.012,-0.053,-0.05,0.031,0.085,Eric Gordon,5.0,0.0,31.0,39.0,15.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,59.0,SG,0.319,0.467,0.2,1.7,1.5,0.6,0.4,1.1,2.0,14.5
37,201571,0.602,0.398,0.602,0.28300000000000003,0.196,2.0,1.0,1.53,1.15,0.92,3.91,2.58,3.91,1.84,1.27,0.025,0.033,0.025,0.08,0.119,DJ Augustin,6.0,2.0,20.0,20.0,12.0,0.0,0.0,1.0,0.0,12.0,0.0,3.0,2.0,5.0,4.0,0.0,4.0,15.0,8.0,52.0,PG,0.345,0.43,0.4,1.9,4.6,0.6,0.0,1.4,1.1,10.4
38,201572,0.794,0.206,0.34600000000000003,0.57,0.426,4.56,0.93,1.76,3.33,2.78,9.51,2.47,4.15,6.83,5.11,-0.039,0.02,0.05,-0.085,-0.08199999999999999,Brook Lopez,11.0,7.0,21.0,30.0,15.0,0.0,0.0,1.0,0.0,7.0,0.0,2.0,11.0,1.0,1.0,0.0,3.0,14.0,33.0,94.0,C,0.29600000000000004,0.557,0.7,3.8,1.6,0.7,2.4,1.0,2.4,11.0
39,201577,0.823,0.177,0.358,0.569,0.429,5.03,0.78,1.79,3.62,2.84,9.87,2.13,4.3,6.83,5.14,-0.017,0.003,0.041,-0.044,-0.07200000000000001,Robin Lopez,7.0,12.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,38.0,53.0,C,0.344,0.588,0.9,1.6,0.7,0.2,0.7,0.9,1.3,5.5
40,201580,0.7829999999999999,0.217,0.386,0.568,0.434,2.23,0.43,0.8,1.72,1.34,4.49,1.25,2.22,3.26,2.49,-0.012,0.0,-0.001,-0.033,-0.073,JaVale McGee,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,15.0,155.0,C,0.5,0.643,1.8,4.0,0.6,0.5,1.5,0.8,2.4,6.8
