,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
1886,Travis Outlaw,SF,0.3376666666666667,0.43407692307692314,0.776923076923077,2.146153846153846,0.7615384615384614,0.48461538461538467,0.5384615384615384,0.769230769230769,1.407692307692308,7.676923076923075
1887,Travis Wear,SF,0.36450000000000005,0.364,0.3,1.85,0.6000000000000001,0.25,0.25,0.55,1.4500000000000002,4.15
1888,Tremaine Fowlkes,SF,0.22666666666666666,0.4415,0.875,1.2,0.45,0.44999999999999996,0.05,0.5,1.3499999999999999,2.85
1889,Tremont Waters,PG,0.17600000000000002,0.5,0.0,0.9,1.2,0.5,0.2,1.0,1.1,3.3
1890,Trenton Hassell,SG,0.23218181818181816,0.4470909090909091,0.7454545454545454,1.7818181818181815,1.5,0.3818181818181818,0.33636363636363636,0.8090909090909091,1.9909090909090907,4.954545454545454
1891,Treveon Graham,SG,0.3626666666666667,0.4275,0.7333333333333334,1.5999999999999999,0.7500000000000001,0.38333333333333336,0.10000000000000002,0.43333333333333335,1.633333333333333,4.1000000000000005
1892,Trevon Duval,PG,1.0,0.5,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.7
1893,Trevor Ariza,SF,0.292,0.49054166666666665,0.9458333333333333,3.6250000000000013,2.0458333333333334,1.3416666666666668,0.3083333333333333,1.2625000000000002,1.8833333333333329,9.329166666666667
1894,Trevor Booker,PF,0.22281818181818178,0.5353636363636363,1.9090909090909092,3.4454545454545453,1.1090909090909091,0.5909090909090909,0.45454545454545453,0.9818181818181817,1.9636363636363638,6.854545454545454
1895,Trey Burke,PG,0.36388888888888893,0.46611111111111114,0.4222222222222222,1.4333333333333333,3.2222222222222228,0.5444444444444445,0.1111111111111111,1.088888888888889,1.2111111111111112,10.255555555555553
1896,Trey Gilder,SF,,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0
1897,Trey Johnson,SG,0.33299999999999996,0.38760000000000006,0.18,0.47999999999999987,0.6799999999999999,0.06000000000000001,0.04,0.42000000000000004,1.2,3.44
1898,Trey Lyles,PF,0.34500000000000003,0.49119999999999997,0.8,3.4799999999999995,1.08,0.4,0.36,0.8400000000000001,1.48,7.42
1899,Trey McKinney-Jones,SG,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,Trey Thompkins,C,0.308,0.41700000000000004,0.2,0.8,0.1,0.1,0.1,0.3,0.4,2.4
1901,Tristan Thompson,PF,0.0782,0.5285555555555557,3.4222222222222225,5.288888888888889,1.0777777777777777,0.5222222222222221,0.7000000000000001,1.1777777777777778,2.3,9.411111111111111
1902,Troy Bell,PG,0.0,0.28600000000000003,0.5,0.2,0.7,0.2,0.0,1.0,1.0,1.8
1903,Troy Brown Jr.,SG,0.33199999999999996,0.47550000000000003,0.85,3.2,1.9,0.8,0.1,0.8500000000000001,1.4500000000000002,7.25
1904,Troy Caupain,PG,0.667,0.4,0.3,0.5,1.0,0.3,0.0,0.0,0.0,2.5
1905,Troy Daniels,SG,0.35966666666666663,0.4338181818181818,0.19166666666666665,0.8000000000000002,0.4833333333333334,0.19999999999999998,0.05833333333333333,0.4333333333333333,0.9583333333333331,5.1499999999999995
1906,Troy Hudson,PG,0.33977777777777773,0.39644444444444443,0.2888888888888889,1.2444444444444445,2.988888888888889,0.4666666666666667,0.05555555555555555,1.4333333333333331,1.2,8.244444444444445
1907,Troy Murphy,PF,0.3204375,0.46681249999999996,1.5374999999999999,5.01875,1.3499999999999999,0.61875,0.40625,1.05625,2.3625,9.09375
1908,Troy Williams,SF,0.265,0.5455714285714286,0.7714285714285715,1.8714285714285714,0.7285714285714285,0.7571428571428572,0.24285714285714285,0.8428571428571429,1.8000000000000003,5.942857142857142
1909,Ty Jerome,PG,0.27699999999999997,0.40700000000000003,0.2,1.3,1.5,0.5,0.1,0.6,1.0,3.5
1910,Ty Lawson,PG,0.355,0.4790000000000001,0.59,2.0100000000000002,5.590000000000002,1.08,0.09999999999999999,1.94,1.54,11.219999999999999
1911,Tyler Cavanaugh,PF,0.28,0.47800000000000004,0.75,1.3,0.39999999999999997,0.1,0.05,0.25,0.9500000000000001,2.75
1912,Tyler Cook,PF,,0.7,0.4,0.5,0.1,0.1,0.0,0.1,0.4,1.7
1913,Tyler Davis,C,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1914,Tyler Dorsey,SG,0.32925,0.4525,0.5249999999999999,1.9,1.275,0.3,0.025,0.625,1.125,6.625
1915,Tyler Ennis,PG,0.32687499999999997,0.443125,0.21250000000000002,0.9249999999999999,1.9375000000000002,0.48750000000000004,0.1125,1.0,1.1125,4.125
1916,Tyler Hansbrough,PF,0.11571428571428573,0.44757142857142856,1.7285714285714284,2.4285714285714284,0.4714285714285715,0.4857142857142857,0.21428571428571427,0.7285714285714286,2.042857142857143,6.671428571428572
1917,Tyler Herro,SG,0.391,0.434,0.3,3.7,1.9,0.6,0.1,1.5,1.3,12.9
1918,Tyler Honeycutt,SF,0.16649999999999998,0.33299999999999996,0.25,0.75,0.35,0.15,0.15000000000000002,0.35,0.2,1.1
1919,Tyler Johnson,PG,0.350375,0.471125,0.6125,2.45,2.525,0.8750000000000001,0.44999999999999996,1.1500000000000001,1.7750000000000001,9.812500000000002
1920,Tyler Lydon,PF,0.4,0.625,0.15,0.2,0.1,0.05,0.0,0.1,0.2,0.45
1921,Tyler Ulis,PG,0.277,0.44,0.19999999999999998,0.9,2.7000000000000006,0.6,0.06666666666666667,1.0333333333333334,0.9666666666666667,5.033333333333333
1922,Tyler Zeller,C,0.09275,0.4884545454545454,1.5909090909090913,2.6272727272727274,0.7818181818181817,0.22727272727272727,0.5181818181818182,0.7181818181818183,2.3363636363636364,6.572727272727274
1923,Tyreke Evans,SG,0.32066666666666666,0.4553333333333334,0.7333333333333333,3.658333333333333,4.516666666666667,1.175,0.35833333333333334,2.3249999999999997,2.066666666666667,14.741666666666667
1924,Tyrone Corbin,SF,0.11349999999999999,0.3285,0.44999999999999996,1.5,0.7000000000000001,0.39999999999999997,0.05,0.35,1.5,2.6999999999999997
1925,Tyrone Hill,PF,0.0,0.45828571428571424,2.442857142857143,4.814285714285715,0.6285714285714287,0.6428571428571429,0.4142857142857142,1.3142857142857145,3.128571428571429,6.828571428571428
