,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
359,Georges Niang,PF,0.41600000000000004,0.5379999999999999,0.2,1.7,0.6,0.2,0.1,0.4,1.1,5.8
360,Nerlens Noel,C,0.33299999999999996,0.6890000000000001,1.5,3.4,1.0,1.0,1.5,1.0,2.6,7.7
361,Zach Norvell,SG,0.375,0.0,0.0,1.2,0.6,0.4,0.0,0.6,0.8,2.0
362,Jaylen Nowell,SG,0.115,0.593,0.2,0.7,1.3,0.2,0.1,0.2,0.7,3.8
363,Frank Ntilikina,PG,0.321,0.444,0.4,1.7,3.0,0.9,0.3,1.2,2.5,6.3
364,Kendrick Nunn,SG,0.36200000000000004,0.512,0.3,2.4,3.4,0.8,0.2,1.6,2.3,15.6
365,David Nwaba,SF,0.429,0.581,0.4,1.9,0.4,0.6,0.6,0.4,1.6,5.2
366,Royce O'Neale,PF,0.389,0.536,0.3,5.0,2.5,0.7,0.4,0.8,2.8,6.3
367,Kyle O'Quinn,C,0.304,0.5710000000000001,1.2,2.5,1.3,0.2,0.8,0.7,1.3,3.3
368,Semi Ojeleye,PF,0.36700000000000005,0.475,0.4,1.6,0.5,0.3,0.1,0.2,1.0,3.1
369,Jahlil Okafor,C,0.5,0.613,1.6,2.6,1.3,0.3,0.7,1.3,2.3,7.6
370,Elie Okobo,PG,0.35200000000000004,0.42700000000000005,0.3,1.3,2.1,0.4,0.1,0.7,1.0,4.0
371,Josh Okogie,SG,0.266,0.529,1.4,2.9,1.6,1.1,0.4,1.4,2.2,8.6
372,KZ Okpala,SF,0.0,0.75,0.2,0.8,0.2,0.4,0.2,0.2,0.4,1.4
373,Victor Oladipo,SG,0.304,0.457,0.5,2.6,3.0,0.8,0.2,2.2,1.6,13.8
374,Kelly Olynyk,C,0.43200000000000005,0.5379999999999999,0.6,3.8,1.6,0.6,0.3,1.1,2.4,7.7
375,Miye Oni,SG,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0
376,Cedi Osman,SF,0.38299999999999995,0.49700000000000005,0.6,3.0,2.4,0.8,0.2,1.4,2.5,11.0
377,Kelly Oubre Jr.,SF,0.35200000000000004,0.511,1.2,5.3,1.5,1.3,0.7,1.5,3.4,18.7
378,Tariq Owens,PF,0.0,0.33299999999999996,0.7,0.3,0.0,0.3,0.0,0.0,0.3,1.3
379,Jeremy Pargo,PG,0.429,0.5329999999999999,0.3,0.7,2.7,0.3,0.0,1.3,2.7,8.3
380,Jabari Parker,PF,0.267,0.594,1.6,4.3,1.8,1.3,0.5,1.8,2.8,14.7
381,Chandler Parsons,SF,0.28600000000000003,0.25,0.2,1.2,0.6,0.8,0.2,0.6,0.6,2.8
382,Eric Paschall,PF,0.287,0.55,1.4,3.2,2.1,0.5,0.2,1.6,2.1,14.0
383,Anžejs Pasečņiks,C,0.0,0.5379999999999999,1.6,2.5,0.7,0.3,0.5,0.9,2.7,6.0
384,Patrick Patterson,PF,0.387,0.457,0.6,1.8,0.6,0.1,0.1,0.4,0.8,4.6
385,Justin Patton,C,0.25,0.5,0.2,0.8,0.4,0.0,0.0,0.4,0.8,1.8
386,Chris Paul,PG,0.36200000000000004,0.557,0.3,4.6,6.8,1.6,0.1,2.2,2.2,17.7
387,Elfrid Payton,PG,0.203,0.48200000000000004,1.2,3.6,7.2,1.6,0.4,2.1,2.0,10.0
388,Gary Payton II,PG,0.28300000000000003,0.5,0.9,1.9,1.7,1.1,0.2,0.7,1.9,3.9
389,Norvel Pelle,C,,0.514,0.8,2.2,0.4,0.1,1.3,0.7,2.0,2.1
390,Theo Pinson,SG,0.188,0.4,0.3,1.3,1.7,0.5,0.1,1.0,1.1,3.6
391,Mason Plumlee,C,0.0,0.627,1.7,3.6,2.4,0.5,0.6,1.4,2.4,7.2
392,Jakob Poeltl,C,,0.619,1.8,3.6,1.8,0.5,1.4,0.8,1.7,5.3
393,Vincent Poirier,C,0.5,0.484,0.5,1.1,0.3,0.1,0.3,0.3,1.1,1.9
394,Shamorie Ponds,PG,0.5,0.667,0.0,0.3,0.5,0.0,0.3,0.0,0.5,2.3
395,Jordan Poole,SG,0.27899999999999997,0.392,0.2,1.9,2.4,0.6,0.2,1.3,1.6,8.8
396,Kevin Porter Jr.,SF,0.335,0.506,0.4,2.8,2.2,0.9,0.3,1.9,2.7,10.0
397,Michael Porter Jr.,PF,0.42200000000000004,0.536,1.1,3.0,0.7,0.4,0.4,0.7,1.6,7.5
398,Otto Porter,SF,0.387,0.48700000000000004,0.9,2.5,1.8,1.1,0.4,0.8,2.2,11.9
399,Bobby Portis,C,0.358,0.493,1.2,3.9,1.5,0.5,0.3,1.1,1.7,10.1
400,Kristaps Porziņģis,PF,0.349,0.47700000000000004,1.7,7.7,1.7,0.7,2.1,1.6,3.1,19.2
401,Dwight Powell,C,0.256,0.716,1.9,3.8,1.5,0.9,0.6,0.9,2.6,9.4
402,Norman Powell,SG,0.39799999999999996,0.589,0.5,3.1,1.8,1.3,0.4,1.5,2.1,16.4
403,Chasson Randle,PG,0.0,0.0,0.0,0.7,1.7,0.7,0.0,0.0,1.0,1.7
404,Julius Randle,PF,0.27699999999999997,0.515,2.4,7.4,3.1,0.8,0.3,3.0,2.8,19.5
405,Josh Reaves,SG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,Cam Reddish,SF,0.332,0.428,0.6,3.1,1.5,1.1,0.5,1.7,2.3,10.5
407,J.J. Redick,SG,0.452,0.446,0.2,2.4,2.0,0.4,0.2,1.2,1.6,14.9
408,Naz Reid,C,0.33,0.466,1.1,3.0,1.2,0.6,0.7,0.7,2.8,9.0
409,Josh Richardson,SG,0.327,0.489,0.8,2.6,3.1,0.9,0.7,1.9,2.5,13.8
410,Austin Rivers,SG,0.358,0.495,0.4,2.0,1.6,0.7,0.2,0.6,1.9,8.5
411,Duncan Robinson,SF,0.44799999999999995,0.614,0.1,3.1,1.4,0.5,0.2,0.9,2.8,13.3
412,Glenn Robinson III,SF,0.387,0.535,1.3,3.0,1.6,0.9,0.3,0.9,1.6,11.8
413,Jerome Robinson,SG,0.298,0.39299999999999996,0.2,1.8,1.2,0.4,0.3,0.6,1.5,3.7
414,Justin Robinson,PG,0.6,0.28600000000000003,0.1,0.4,0.8,0.0,0.1,0.3,0.2,1.4
415,Mitchell Robinson,C,,0.742,3.0,4.0,0.6,0.9,2.0,0.6,3.2,9.7
416,Isaiah Roby,SF,,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.3,0.0
417,Rajon Rondo,PG,0.32799999999999996,0.473,0.5,2.5,5.0,0.8,0.0,1.9,1.2,7.1
418,Derrick Rose,PG,0.306,0.535,0.5,1.9,5.6,0.8,0.3,2.5,1.0,18.1
419,Terrence Ross,SG,0.35700000000000004,0.47700000000000004,0.2,3.0,1.2,1.1,0.3,1.0,1.5,14.8
420,Terry Rozier,PG,0.40700000000000003,0.436,0.8,3.6,4.1,1.0,0.2,2.2,2.0,18.0
421,Ricky Rubio,PG,0.35100000000000003,0.44,0.7,3.9,8.9,1.5,0.2,2.7,2.5,13.1
422,D'Angelo Russell,PG,0.36700000000000005,0.48700000000000004,0.4,3.6,6.3,1.1,0.3,3.3,1.9,23.1
423,Domantas Sabonis,C,0.254,0.565,3.0,9.4,5.0,0.8,0.5,2.7,3.1,18.5
424,Luka Šamanić,PF,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
425,JaKarr Sampson,SF,0.154,0.6759999999999999,0.6,1.7,0.3,0.3,0.3,0.3,1.7,4.2
426,Dario Šarić,PF,0.341,0.563,1.5,4.4,1.9,0.6,0.3,1.2,2.3,10.1
427,Tomáš Satoranský,PG,0.322,0.491,1.2,2.7,5.4,1.2,0.1,2.0,2.1,9.9
428,Admiral Schofield,SF,0.298,0.5710000000000001,0.2,1.0,0.5,0.3,0.1,0.3,1.5,3.1
429,Dennis Schröder,PG,0.381,0.512,0.3,3.4,4.1,0.7,0.2,2.5,2.2,19.0
430,Mike Scott,PF,0.358,0.496,0.9,2.7,0.8,0.3,0.1,0.4,1.3,5.7
431,Thabo Sefolosha,PF,0.278,0.595,0.5,1.8,0.6,0.6,0.3,0.4,1.0,2.2
432,Collin Sexton,SG,0.38,0.501,0.9,2.2,3.0,1.0,0.1,2.4,2.2,20.8
433,Landry Shamet,SG,0.392,0.494,0.1,1.8,1.9,0.4,0.2,0.8,2.8,9.7
434,Marial Shayok,SG,0.33299999999999996,0.0,0.0,1.5,0.5,0.0,0.0,0.5,0.0,1.5
435,Iman Shumpert,SG,0.242,0.419,0.7,1.9,0.9,0.9,0.2,0.8,1.6,4.2
436,Pascal Siakam,PF,0.359,0.506,1.1,6.5,3.6,1.0,0.9,2.5,2.8,23.6
437,Chris Silva,PF,0.0,0.642,1.3,1.3,0.5,0.2,0.4,0.8,2.0,2.9
438,Ben Simmons,PG,0.33299999999999996,0.588,2.0,5.8,8.2,2.1,0.6,3.6,3.2,16.7
439,Anfernee Simons,SG,0.33799999999999997,0.44799999999999995,0.4,1.9,1.5,0.4,0.2,0.9,2.0,8.8
440,Alen Smailagić,PF,0.231,0.63,0.7,1.2,0.9,0.2,0.3,0.8,1.0,4.2
441,Marcus Smart,SG,0.348,0.424,0.8,3.1,4.8,1.6,0.5,1.7,2.7,13.5
442,Dennis Smith Jr.,PG,0.29600000000000004,0.35700000000000004,0.6,1.7,2.9,0.8,0.2,1.7,1.9,5.5
443,Ish Smith,PG,0.36700000000000005,0.48,0.5,2.7,4.8,0.9,0.4,1.3,1.4,10.5
444,Zhaire Smith,SG,0.0,0.375,0.0,0.3,0.3,0.4,0.0,0.3,0.6,1.1
445,Tony Snell,SF,0.402,0.531,0.2,1.7,2.2,0.5,0.3,0.5,1.7,8.0
446,Omari Spellman,PF,0.391,0.45399999999999996,1.6,2.9,1.0,0.7,0.5,1.1,1.3,7.6
447,Max Strus,SG,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,2.5
448,Edmond Sumner,PG,0.263,0.507,0.4,1.1,1.6,0.6,0.3,0.8,1.4,4.6
449,Caleb Swanigan,PF,0.0,0.622,1.0,2.7,1.1,0.1,0.3,1.4,2.3,2.4
450,Jayson Tatum,PF,0.39799999999999996,0.479,1.0,6.1,2.9,1.4,0.9,2.2,2.1,23.6
451,Jeff Teague,PG,0.368,0.457,0.5,1.9,5.2,0.7,0.3,2.0,1.8,10.9
452,Garrett Temple,SG,0.324,0.483,0.5,2.9,2.6,0.8,0.5,1.0,1.7,10.3
453,Daniel Theis,C,0.321,0.631,2.2,4.3,1.6,0.6,1.3,0.8,3.5,9.3
454,Isaiah Thomas,PG,0.413,0.405,0.3,1.4,3.7,0.3,0.2,1.9,1.9,12.2
455,Khyri Thomas,SG,0.35700000000000004,0.0,0.1,0.0,0.4,0.4,0.0,0.4,1.1,2.1
456,Matt Thomas,SG,0.467,0.528,0.2,1.2,0.5,0.2,0.0,0.4,0.9,4.5
457,Tristan Thompson,C,0.391,0.518,4.0,6.2,2.1,0.6,0.9,1.8,2.2,12.0
458,Matisse Thybulle,SG,0.35200000000000004,0.5,0.6,0.9,1.2,1.4,0.7,0.8,2.1,4.7
459,Anthony Tolliver,PF,0.322,0.441,0.6,2.2,0.7,0.3,0.2,0.6,1.4,3.5
460,Juan Toscano-Anderson,SF,0.348,0.525,0.7,3.3,2.0,1.0,0.4,1.2,2.3,5.3
461,Karl-Anthony Towns,C,0.41200000000000003,0.586,2.7,8.1,4.4,0.9,1.2,3.1,3.3,26.5
462,Gary Trent Jr.,SG,0.38799999999999996,0.47700000000000004,0.4,1.3,0.9,0.7,0.2,0.4,1.3,7.7
463,Allonzo Trier,PG,0.358,0.604,0.3,1.0,1.2,0.1,0.2,0.9,1.2,6.5
464,P.J. Tucker,PF,0.37,0.573,1.6,5.3,1.6,1.1,0.5,1.0,3.3,7.1
465,Rayjon Tucker,SG,0.0,0.615,0.1,0.8,0.1,0.1,0.0,0.2,0.5,1.4
466,Evan Turner,PG,0.0,0.40299999999999997,0.4,1.6,2.0,0.5,0.4,1.4,1.1,3.3
467,Myles Turner,C,0.336,0.542,1.3,5.3,1.1,0.8,2.2,1.2,2.5,11.8
468,Jarrod Uthoff,SF,0.0,0.33299999999999996,0.3,0.0,0.0,0.3,0.0,0.0,0.3,1.0
469,Jonas Valančiūnas,C,0.36700000000000005,0.616,3.1,8.2,1.8,0.4,1.1,1.7,2.6,14.9
470,Denzel Valentine,SF,0.336,0.51,0.3,1.8,1.2,0.7,0.2,0.7,1.4,6.8
471,Jarred Vanderbilt,PF,0.0,0.7140000000000001,0.3,0.5,0.2,0.3,0.1,0.6,0.5,1.1
472,Fred VanVleet,PG,0.38799999999999996,0.43,0.4,3.4,6.6,1.9,0.3,2.3,2.5,17.6
473,Gabe Vincent,PG,0.25,0.0,0.0,0.5,0.5,0.2,0.0,0.0,0.3,2.0
474,Noah Vonleh,PF,0.2,0.635,1.1,2.6,0.8,0.3,0.2,0.6,1.2,3.8
475,Nikola Vučević,C,0.32899999999999996,0.523,2.4,8.6,3.7,0.9,0.9,1.4,2.2,19.5
476,Dean Wade,PF,0.5,0.778,0.3,1.3,0.2,0.2,0.3,0.3,0.7,1.7
477,Moritz Wagner,C,0.34299999999999997,0.6709999999999999,1.4,3.8,1.3,0.6,0.5,1.5,3.6,9.5
478,Dion Waiters,SG,0.47100000000000003,0.222,0.0,3.7,1.0,0.0,0.7,1.0,1.7,9.3
479,Kemba Walker,PG,0.377,0.47,0.7,3.4,4.9,0.9,0.5,2.1,1.5,21.2
480,Lonnie Walker,SG,0.408,0.444,0.4,1.8,0.9,0.5,0.2,0.6,1.3,5.6
481,Tyrone Wallace,SG,0.067,0.44799999999999995,0.2,1.4,0.9,0.5,0.1,0.7,1.4,2.9
482,Taurean Prince,SF,0.33899999999999997,0.429,0.8,5.2,1.8,0.9,0.4,2.0,2.5,12.1
483,Derrick Walton,PG,0.41700000000000004,0.5329999999999999,0.1,0.5,1.0,0.3,0.0,0.2,0.8,2.0
484,Brad Wanamaker,PG,0.36700000000000005,0.452,0.3,1.7,2.5,0.8,0.2,1.1,1.9,6.6
485,T.J. Warren,SF,0.375,0.5710000000000001,1.0,3.0,1.4,1.1,0.4,1.3,2.8,18.7
486,P.J. Washington,PF,0.374,0.507,1.0,4.4,2.1,0.9,0.8,1.6,2.7,12.2
487,Yuta Watanabe,SG,0.375,0.429,0.4,0.7,0.3,0.3,0.1,0.1,0.6,1.9
488,Tremont Waters,PG,0.17600000000000002,0.5,0.0,0.9,1.2,0.5,0.2,1.0,1.1,3.3
489,Paul Watson,SF,0.0,0.0,0.0,0.8,1.0,0.2,0.2,0.0,0.2,0.2
490,Quinndary Weatherspoon,SG,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0
491,Russell Westbrook,PG,0.254,0.518,1.8,6.3,7.0,1.7,0.3,4.5,3.5,27.5
492,Coby White,SG,0.354,0.43,0.4,3.1,2.7,0.8,0.1,1.7,1.8,13.2
493,Derrick White,SG,0.35600000000000004,0.513,0.5,2.7,3.4,0.6,0.9,1.2,2.2,10.4
494,Hassan Whiteside,C,0.5710000000000001,0.619,4.0,10.2,1.2,0.4,3.1,1.9,2.9,16.3
495,Andrew Wiggins,SF,0.332,0.506,1.2,3.9,3.7,0.8,1.0,2.4,2.4,21.8
496,Grant Williams,PF,0.247,0.551,0.9,1.7,1.0,0.5,0.5,0.7,2.4,3.5
497,Johnathan Williams,C,0.0,0.696,1.4,2.5,0.5,0.1,0.5,0.4,1.0,3.2
498,Kenrich Williams,PF,0.26,0.511,1.4,3.7,1.5,0.7,0.6,0.6,2.3,3.8
499,Lou Williams,SG,0.363,0.442,0.5,2.6,5.7,0.7,0.2,2.9,1.3,18.7
500,Marvin Williams,PF,0.361,0.552,0.4,2.5,1.1,0.7,0.5,0.5,1.8,6.1
501,Robert Williams,C,,0.677,1.5,3.2,1.0,0.9,1.2,0.9,1.7,4.3
502,Nigel Williams-Goss,PG,0.0,0.2,0.2,0.3,0.6,0.1,0.1,0.2,0.2,0.4
503,Zion Williamson,PF,0.462,0.595,2.9,3.9,2.2,0.8,0.5,2.7,1.7,23.6
504,D.J. Wilson,PF,0.255,0.565,0.3,1.9,0.7,0.1,0.2,0.5,0.8,3.2
505,Justise Winslow,SF,0.222,0.431,1.5,5.2,4.0,0.6,0.5,2.2,3.5,11.3
506,Christian Wood,PF,0.386,0.636,1.7,4.6,1.0,0.5,0.9,1.4,1.6,13.1
507,Delon Wright,SG,0.385,0.508,1.0,3.0,3.4,1.2,0.3,1.0,1.3,7.3
508,Justin Wright-Foreman,PG,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,Thaddeus Young,PF,0.35600000000000004,0.501,1.5,3.5,1.8,1.4,0.4,1.6,2.1,10.3
510,Trae Young,PG,0.361,0.501,0.5,3.7,9.3,1.1,0.1,4.8,1.7,29.6
511,Cody Zeller,C,0.24,0.5770000000000001,2.8,4.3,1.5,0.7,0.4,1.3,2.4,11.1
512,Ante Žižić,C,,0.569,0.8,2.2,0.3,0.3,0.2,0.5,1.2,4.4
513,Ivica Zubac,C,0.0,0.605,2.6,4.6,1.1,0.2,0.9,0.8,2.3,8.0
