,Player,Pos,3P%,2P%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
179,Draymond Green,PF,0.27899999999999997,0.465,0.5,5.7,6.2,1.4,0.8,2.3,2.6,8.0
180,JaMychal Green,PF,0.363,0.52,1.4,5.0,0.8,0.5,0.4,0.8,2.7,6.5
181,Javonte Green,SF,0.261,0.573,0.4,1.4,0.5,0.5,0.2,0.4,0.8,2.9
182,Jeff Green,PF,0.348,0.5529999999999999,0.6,2.3,0.8,0.5,0.4,0.9,1.6,8.4
183,Blake Griffin,PF,0.243,0.439,0.9,3.7,3.3,0.4,0.4,2.2,1.5,15.5
184,Marko Guduric,SG,0.309,0.493,0.3,1.4,1.1,0.3,0.2,0.9,0.8,4.0
185,Kyle Guy,SG,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,Rui Hachimura,PF,0.27399999999999997,0.517,1.5,4.5,1.7,0.8,0.2,1.0,2.2,13.4
187,Devon Hall,SG,0.0,0.33299999999999996,0.0,0.2,0.6,0.0,0.0,0.2,0.2,1.0
188,Donta Hall,PF,,0.25,1.5,2.3,0.5,0.3,0.3,0.5,2.3,1.5
189,Dusty Hannahs,SG,0.667,0.33299999999999996,0.0,0.5,0.0,0.0,0.0,0.0,0.5,6.0
190,Tim Hardaway Jr.,SG,0.40700000000000003,0.478,0.4,2.8,2.0,0.6,0.1,1.0,1.7,15.8
191,James Harden,SG,0.35200000000000004,0.5379999999999999,1.0,5.3,7.4,1.7,0.9,4.5,3.4,34.4
192,Maurice Harkless,SF,0.34700000000000003,0.584,0.9,3.0,1.1,0.9,0.5,0.9,2.4,5.8
193,Jared Harper,PG,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
194,Montrezl Harrell,C,0.0,0.593,2.6,4.5,1.7,0.6,1.1,1.7,2.3,18.6
195,Gary Harris,SG,0.33299999999999996,0.479,0.5,2.4,2.1,1.4,0.3,1.1,2.1,10.4
196,Joe Harris,SF,0.41200000000000003,0.536,1.0,3.4,2.1,0.6,0.3,1.5,2.2,13.9
197,Tobias Harris,PF,0.36200000000000004,0.521,0.8,5.9,3.2,0.8,0.5,1.5,2.3,19.4
198,Shaquille Harrison,SF,0.381,0.496,0.5,1.5,1.1,0.8,0.4,0.4,1.3,4.9
199,Josh Hart,SF,0.342,0.5710000000000001,0.9,5.5,1.6,1.0,0.4,1.1,2.5,10.2
200,Isaiah Hartenstein,C,0.0,0.71,1.3,2.7,0.8,0.4,0.5,0.7,1.8,4.7
201,Udonis Haslem,PF,0.0,0.25,0.0,2.7,0.3,0.0,0.0,0.0,1.0,1.7
202,Jaxson Hayes,C,0.25,0.667,1.5,2.5,0.9,0.4,0.9,0.7,2.5,7.5
203,Gordon Hayward,SF,0.392,0.5529999999999999,1.0,5.5,4.1,0.8,0.4,1.8,1.8,17.3
204,John Henson,PF,0.222,0.644,1.2,2.9,1.4,0.6,1.1,0.9,2.0,5.5
205,Dewan Hernandez,C,0.0,0.25,0.5,1.3,0.0,0.3,0.0,0.3,1.5,1.0
206,Juan Hernangómez,PF,0.341,0.475,0.9,3.2,0.8,0.4,0.2,0.7,1.3,6.0
207,Willy Hernangómez,C,0.22699999999999998,0.59,1.4,2.9,0.9,0.3,0.2,1.0,1.0,6.1
208,Tyler Herro,SG,0.391,0.434,0.3,3.7,1.9,0.6,0.1,1.5,1.3,12.9
209,Kevin Hervey,PF,0.0,0.33299999999999996,0.0,0.3,0.1,0.0,0.0,0.0,0.1,0.3
210,Mario Hezonja,PF,0.32799999999999996,0.48,0.6,2.9,0.9,0.6,0.2,0.8,2.0,4.8
211,Buddy Hield,SG,0.395,0.47700000000000004,0.9,3.9,3.1,0.9,0.3,2.3,2.3,19.8
212,George Hill,PG,0.48,0.5710000000000001,0.9,2.1,2.9,0.8,0.1,0.9,1.4,9.6
213,Solomon Hill,SF,0.37799999999999995,0.446,0.5,2.4,1.8,0.7,0.2,0.9,1.4,5.4
214,Jaylen Hoard,SF,0.0,0.517,1.1,1.4,0.3,0.4,0.0,0.3,0.9,2.9
215,Aaron Holiday,PG,0.39399999999999996,0.41600000000000004,0.4,1.9,3.3,0.8,0.2,1.3,1.8,9.4
216,Jrue Holiday,SG,0.35700000000000004,0.502,1.3,3.6,6.9,1.7,0.8,2.9,2.3,19.6
