PLAYER_ID,def_2 Pointers_freq,def_3 Pointers_freq,def_Greater_Than_15_Ft_freq,def_Less_Than_10_Ft_freq,def_Less_Than_6_Ft_freq,def_2 Pointers_dfgm,def_3 Pointers_dfgm,def_Greater_Than_15_Ft_dfgm,def_Less_Than_10_Ft_dfgm,def_Less_Than_6_Ft_dfgm,def_2 Pointers_dfga,def_3 Pointers_dfga,def_Greater_Than_15_Ft_dfga,def_Less_Than_10_Ft_dfga,def_Less_Than_6_Ft_dfga,def_2 Pointers_plus_minus,def_3 Pointers_plus_minus,def_Greater_Than_15_Ft_plus_minus,def_Less_Than_10_Ft_plus_minus,def_Less_Than_6_Ft_plus_minus
2736,0.6920000000000001,0.308,0.308,0.6920000000000001,0.462,3.0,3.0,3.0,3.0,3.0,9.0,4.0,4.0,9.0,6.0,-0.188,0.382,0.35600000000000004,-0.231,-0.13699999999999998
2738,0.573,0.42700000000000005,0.5670000000000001,0.363,0.262,2.09,0.89,1.25,1.53,1.3,4.17,3.11,4.13,2.64,1.91,-0.003,-0.073,-0.068,0.016,0.06
2744,0.8690000000000001,0.131,0.258,0.6459999999999999,0.485,3.0,0.31,0.69,2.42,1.97,5.53,0.83,1.64,4.11,3.08,0.023,0.02,0.055,0.019,0.015
2746,0.667,0.33299999999999996,0.833,0.16699999999999998,0.0,1.0,0.5,1.5,0.0,0.0,2.0,1.0,2.5,0.5,0.0,-0.08,0.16,0.215,-0.754,0.0
2747,0.502,0.498,0.625,0.321,0.259,2.45,1.4,1.91,1.75,1.46,4.06,4.04,5.06,2.6,2.1,0.09699999999999999,-0.021,-0.001,0.11,0.084
2749,0.597,0.40299999999999997,0.609,0.28,0.19699999999999998,2.06,0.96,1.46,1.21,0.9,4.04,2.73,4.13,1.9,1.33,0.021,-0.004,-0.016,0.08199999999999999,0.064
2754,0.523,0.47700000000000004,0.557,0.386,0.261,1.29,0.57,0.76,0.95,0.81,2.19,2.0,2.33,1.62,1.1,0.08199999999999999,-0.063,-0.042,0.038,0.125
2772,0.5920000000000001,0.408,0.515,0.425,0.332,2.85,0.92,1.32,2.24,1.88,4.76,3.27,4.14,3.41,2.67,0.08800000000000001,-0.076,-0.052000000000000005,0.08900000000000001,0.084
2863,0.614,0.386,0.523,0.386,0.295,0.87,0.27,0.33,0.67,0.67,1.8,1.13,1.53,1.13,0.87,-0.001,-0.107,-0.131,0.040999999999999995,0.174
101107,0.67,0.33,0.501,0.424,0.337,3.36,0.96,1.63,2.42,2.04,6.14,3.03,4.59,3.88,3.09,0.032,-0.045,-0.02,0.053,0.038
