,Player,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area,Pos,3P%,2P%,TRB,AST,STL,BLK,TOV,PF,PTS
1442,Rex Chapman,364.0,14.0,5.0,14.0,2.0,5.0,0.0,0.0,7.0,6.0,13.0,3.0,7.0,6.0,2.0,6.0,2.0,8.0,7.0,7.0,19.0,SG,0.333,0.421,1.5,1.2,0.4,0.0,0.7,1.3,6.6
1443,Rex Walters,777.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,1.0,14.0,PG,0.25,0.465,1.1,2.0,0.2,0.0,0.9,1.3,2.8
1444,Richard Hamilton,1888.0,6.0,7.0,9.0,7.0,4.0,0.0,0.0,32.0,36.0,15.0,3.0,32.0,28.0,20.0,16.0,2.0,7.0,23.0,35.0,59.0,SG,0.3444285714285715,0.4591428571428572,3.0142857142857142,3.3714285714285714,0.75,0.1357142857142857,2.1142857142857143,2.4642857142857144,16.585714285714282
1445,Richard Jefferson,2210.0,27.0,45.0,22.0,22.0,11.0,0.0,0.0,3.0,3.0,12.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,3.0,12.0,134.0,SF,0.3569473684210526,0.4872105263157895,3.8789473684210534,1.957894736842105,0.631578947368421,0.2842105263157895,1.4315789473684208,2.1210526315789484,11.894736842105265
1446,Richaun Holmes,1626158.0,7.0,1.0,10.0,3.0,18.0,0.0,0.0,1.0,2.0,4.0,1.0,6.0,4.0,1.0,3.0,1.0,8.0,13.0,47.0,347.0,C,0.22066666666666668,0.6176,5.1,0.96,0.62,0.98,0.82,2.58,8.58
1447,Richie Frahm,2499.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,SG,0.3406666666666667,0.5136666666666666,1.1666666666666667,0.65,0.18333333333333332,0.06666666666666668,0.3166666666666667,0.8666666666666667,3.85
1448,Rick Brunson,1594.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,PG,0.3181666666666666,0.4251538461538462,0.9615384615384616,1.8384615384615384,0.4307692307692308,0.04615384615384615,0.8384615384615386,0.9384615384615386,2.607692307692308
1449,Rick Fox,296.0,51.0,47.0,105.0,104.0,53.0,1.0,0.0,35.0,18.0,81.0,3.0,17.0,37.0,24.0,34.0,4.0,37.0,39.0,62.0,373.0,SF,0.3306,0.47100000000000003,3.62,2.8600000000000003,0.8,0.26,1.4600000000000002,2.72,7.56
1450,Rick Hughes,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,20.0,PF,0.0,0.493,2.3,0.4,0.1,0.0,0.7,1.4,3.9
1451,Ricky Davis,1729.0,20.0,43.0,28.0,37.0,8.0,0.0,0.0,51.0,38.0,67.0,13.0,44.0,36.0,59.0,56.0,5.0,66.0,60.0,47.0,420.0,SG,0.3682,0.462,3.526666666666667,3.4200000000000004,0.9866666666666666,0.2533333333333333,2.1333333333333333,1.9666666666666672,13.413333333333332
