,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2,1627775,52,48,2 Pointers,0.672,1.75,3.35,0.523,0.506,0.017
3,1627775,52,33,Less Than 6 Ft,0.286,0.98,1.42,0.689,0.627,0.062
4,1627775,52,39,Less Than 10 Ft,0.429,1.25,2.13,0.586,0.566,0.019
5,1627775,52,47,Greater Than 15 Ft,0.479,0.87,2.38,0.363,0.371,-0.008
0,203918,60,60,Overall,1.0,3.7,7.22,0.513,0.455,0.058
1,203918,60,55,3 Pointers,0.37,1.08,2.67,0.406,0.36,0.047
2,203918,60,59,2 Pointers,0.63,2.62,4.55,0.575,0.507,0.068
3,203918,60,55,Less Than 6 Ft,0.314,1.57,2.27,0.691,0.616,0.075
4,203918,60,58,Less Than 10 Ft,0.39,1.87,2.82,0.663,0.568,0.095
5,203918,60,57,Greater Than 15 Ft,0.531,1.57,3.83,0.409,0.368,0.04
0,1626155,69,69,Overall,1.0,2.07,4.45,0.466,0.463,0.003
1,1626155,69,49,3 Pointers,0.316,0.54,1.41,0.381,0.353,0.028
2,1626155,69,66,2 Pointers,0.684,1.54,3.04,0.505,0.517,-0.012
3,1626155,69,50,Less Than 6 Ft,0.313,0.84,1.39,0.604,0.617,-0.013
4,1626155,69,59,Less Than 10 Ft,0.446,1.07,1.99,0.54,0.568,-0.028
5,1626155,69,56,Greater Than 15 Ft,0.492,0.9,2.19,0.411,0.369,0.042
0,201565,25,25,Overall,1.0,3.0,5.92,0.507,0.457,0.05
1,201565,25,17,3 Pointers,0.304,0.68,1.8,0.378,0.357,0.021
2,201565,25,23,2 Pointers,0.696,2.32,4.12,0.563,0.507,0.056
3,201565,25,20,Less Than 6 Ft,0.297,1.16,1.76,0.659,0.618,0.041
4,201565,25,22,Less Than 10 Ft,0.432,1.56,2.56,0.609,0.567,0.042
5,201565,25,21,Greater Than 15 Ft,0.466,1.12,2.76,0.406,0.372,0.034
0,2548,67,67,Overall,1.0,3.16,7.61,0.416,0.45,-0.035
1,2548,67,64,3 Pointers,0.42,1.01,3.19,0.318,0.352,-0.034
2,2548,67,66,2 Pointers,0.58,2.15,4.42,0.486,0.505,-0.019
3,2548,67,61,Less Than 6 Ft,0.292,1.39,2.22,0.624,0.616,0.008
4,2548,67,63,Less Than 10 Ft,0.38,1.64,2.9,0.567,0.561,0.006
5,2548,67,65,Greater Than 15 Ft,0.545,1.31,4.15,0.317,0.363,-0.046
0,202697,14,14,Overall,1.0,3.36,6.57,0.511,0.453,0.058
1,202697,14,10,3 Pointers,0.457,1.14,3.0,0.381,0.363,0.018
2,202697,14,12,2 Pointers,0.543,2.21,3.57,0.62,0.503,0.117
3,202697,14,10,Less Than 6 Ft,0.337,1.64,2.21,0.742,0.601,0.141
4,202697,14,11,Less Than 10 Ft,0.391,1.64,2.57,0.639,0.551,0.088
5,202697,14,13,Greater Than 15 Ft,0.598,1.71,3.93,0.436,0.372,0.064
0,2544,82,82,Overall,1.0,4.96,11.11,0.447,0.459,-0.013
1,2544,82,78,3 Pointers,0.377,1.54,4.18,0.367,0.363,0.005
2,2544,82,82,2 Pointers,0.623,3.43,6.93,0.495,0.508,-0.013
3,2544,82,78,Less Than 6 Ft,0.346,2.09,3.84,0.543,0.615,-0.072
4,2544,82,82,Less Than 10 Ft,0.436,2.51,4.84,0.519,0.563,-0.044
5,2544,82,82,Greater Than 15 Ft,0.501,2.16,5.56,0.388,0.373,0.016
0,1628506,6,6,Overall,1.0,1.83,3.0,0.611,0.417,0.194
1,1628506,6,4,3 Pointers,0.444,0.67,1.33,0.5,0.337,0.163
2,1628506,6,3,2 Pointers,0.556,1.17,1.67,0.7,0.494,0.206
3,1628506,6,2,Less Than 6 Ft,0.278,0.83,0.83,1.0,0.623,0.377
4,1628506,6,2,Less Than 10 Ft,0.444,1.17,1.33,0.875,0.539,0.336
5,1628506,6,5,Greater Than 15 Ft,0.556,0.67,1.67,0.4,0.359,0.041
0,202732,47,47,Overall,1.0,2.17,4.15,0.523,0.446,0.077
1,202732,47,35,3 Pointers,0.354,0.64,1.47,0.435,0.372,0.063
2,202732,47,42,2 Pointers,0.646,1.53,2.68,0.571,0.49,0.082
3,202732,47,34,Less Than 6 Ft,0.328,0.85,1.36,0.625,0.602,0.023
4,202732,47,40,Less Than 10 Ft,0.451,1.13,1.87,0.602,0.537,0.065
5,202732,47,40,Greater Than 15 Ft,0.477,0.89,1.98,0.452,0.378,0.074
0,202682,1,1,Overall,1.0,0.0,1.0,0.0,0.508,-0.508
1,202682,1,1,3 Pointers,1.0,0.0,1.0,0.0,0.397,-0.397
2,202682,1,0,2 Pointers,,,,,,
3,202682,1,0,Less Than 6 Ft,,,,,,
4,202682,1,0,Less Than 10 Ft,,,,,,
5,202682,1,1,Greater Than 15 Ft,1.0,0.0,1.0,0.0,0.441,-0.441
0,1627770,14,14,Overall,1.0,0.93,2.79,0.333,0.456,-0.122
1,1627770,14,11,3 Pointers,0.59,0.5,1.64,0.304,0.319,-0.015
2,1627770,14,9,2 Pointers,0.41,0.43,1.14,0.375,0.5,-0.125
3,1627770,14,5,Less Than 6 Ft,0.179,0.36,0.5,0.714,0.609,0.105
4,1627770,14,5,Less Than 10 Ft,0.205,0.36,0.57,0.625,0.58,0.045
5,1627770,14,11,Greater Than 15 Ft,0.744,0.57,2.07,0.276,0.351,-0.076
0,2210,17,17,Overall,1.0,1.88,3.65,0.516,0.452,0.064
1,2210,17,15,3 Pointers,0.484,0.94,1.76,0.533,0.348,0.185
2,2210,17,12,2 Pointers,0.516,0.94,1.88,0.5,0.511,-0.011
3,2210,17,6,Less Than 6 Ft,0.161,0.35,0.59,0.6,0.639,-0.039
4,2210,17,10,Less Than 10 Ft,0.29,0.59,1.06,0.556,0.565,-0.009
5,2210,17,16,Greater Than 15 Ft,0.694,1.24,2.53,0.488,0.365,0.124
0,203925,77,77,Overall,1.0,3.62,8.25,0.439,0.446,-0.006
1,203925,77,69,3 Pointers,0.335,0.92,2.77,0.333,0.365,-0.032
2,203925,77,77,2 Pointers,0.665,2.7,5.48,0.493,0.494,-0.001
3,203925,77,68,Less Than 6 Ft,0.282,1.48,2.32,0.637,0.615,0.022
4,203925,77,76,Less Than 10 Ft,0.387,1.82,3.19,0.569,0.558,0.011
5,203925,77,75,Greater Than 15 Ft,0.529,1.52,4.36,0.348,0.376,-0.028
0,202389,29,29,Overall,1.0,2.48,5.59,0.444,0.487,-0.042
1,202389,29,13,3 Pointers,0.198,0.45,1.1,0.406,0.34,0.067
2,202389,29,29,2 Pointers,0.802,2.03,4.48,0.454,0.524,-0.07
3,202389,29,23,Less Than 6 Ft,0.37,1.03,2.07,0.5,0.614,-0.114
4,202389,29,26,Less Than 10 Ft,0.549,1.31,3.07,0.427,0.565,-0.138
5,202389,29,21,Greater Than 15 Ft,0.346,0.9,1.93,0.464,0.363,0.101
0,203079,29,29,Overall,1.0,5.14,10.62,0.484,0.454,0.03
1,203079,29,29,3 Pointers,0.347,1.34,3.69,0.364,0.373,-0.009
2,203079,29,29,2 Pointers,0.653,3.79,6.93,0.547,0.498,0.049
3,203079,29,26,Less Than 6 Ft,0.299,2.17,3.17,0.685,0.614,0.071
4,203079,29,28,Less Than 10 Ft,0.422,2.79,4.48,0.623,0.56,0.063
5,203079,29,29,Greater Than 15 Ft,0.506,2.1,5.38,0.391,0.383,0.008
0,101139,70,70,Overall,1.0,1.89,4.51,0.418,0.446,-0.028
1,101139,70,64,3 Pointers,0.43,0.61,1.94,0.316,0.355,-0.039
2,101139,70,65,2 Pointers,0.57,1.27,2.57,0.494,0.503,-0.009
3,101139,70,42,Less Than 6 Ft,0.225,0.71,1.01,0.704,0.627,0.077
4,101139,70,55,Less Than 10 Ft,0.37,0.9,1.67,0.538,0.562,-0.024
5,101139,70,67,Greater Than 15 Ft,0.566,0.9,2.56,0.352,0.363,-0.011
0,101127,61,61,Overall,1.0,3.87,8.23,0.47,0.446,0.024
1,101127,61,58,3 Pointers,0.474,1.46,3.9,0.374,0.362,0.012
2,101127,61,59,2 Pointers,0.526,2.41,4.33,0.557,0.496,0.06
3,101127,61,46,Less Than 6 Ft,0.195,1.1,1.61,0.684,0.619,0.065
4,101127,61,51,Less Than 10 Ft,0.267,1.38,2.2,0.627,0.563,0.064
5,101127,61,60,Greater Than 15 Ft,0.655,2.18,5.39,0.404,0.372,0.032
0,2736,1,1,Overall,1.0,6.0,13.0,0.462,0.467,-0.006
1,2736,1,1,3 Pointers,0.308,3.0,4.0,0.75,0.368,0.382
2,2736,1,1,2 Pointers,0.692,3.0,9.0,0.333,0.521,-0.188
3,2736,1,1,Less Than 6 Ft,0.462,3.0,6.0,0.5,0.637,-0.137
4,2736,1,1,Less Than 10 Ft,0.692,3.0,9.0,0.333,0.564,-0.231
5,2736,1,1,Greater Than 15 Ft,0.308,3.0,4.0,0.75,0.394,0.356
0,202720,8,8,Overall,1.0,4.25,7.13,0.596,0.478,0.119
1,202720,8,6,3 Pointers,0.193,0.63,1.38,0.455,0.377,0.077
2,202720,8,8,2 Pointers,0.807,3.63,5.75,0.63,0.514,0.116
3,202720,8,8,Less Than 6 Ft,0.614,2.5,4.38,0.571,0.618,-0.047
4,202720,8,8,Less Than 10 Ft,0.702,3.0,5.0,0.6,0.568,0.032
5,202720,8,6,Greater Than 15 Ft,0.263,1.0,1.88,0.533,0.385,0.148
0,201578,48,48,Overall,1.0,3.25,7.0,0.464,0.471,-0.007
1,201578,48,35,3 Pointers,0.241,0.54,1.69,0.321,0.333,-0.012
2,201578,48,47,2 Pointers,0.759,2.71,5.31,0.51,0.517,-0.007
3,201578,48,44,Less Than 6 Ft,0.426,1.79,2.98,0.601,0.608,-0.006
4,201578,48,46,Less Than 10 Ft,0.527,2.04,3.69,0.554,0.565,-0.011
5,201578,48,42,Greater Than 15 Ft,0.402,0.96,2.81,0.341,0.342,-0.001
0,201956,50,50,Overall,1.0,2.06,4.96,0.415,0.455,-0.04
1,201956,50,33,3 Pointers,0.27,0.36,1.34,0.269,0.36,-0.091
2,201956,50,48,2 Pointers,0.73,1.7,3.62,0.47,0.5,-0.03
3,201956,50,42,Less Than 6 Ft,0.383,1.14,1.9,0.6,0.611,-0.011
4,201956,50,45,Less Than 10 Ft,0.516,1.32,2.56,0.516,0.556,-0.04
5,201956,50,38,Greater Than 15 Ft,0.444,0.64,2.2,0.291,0.367,-0.076
0,2733,69,69,Overall,1.0,2.25,5.1,0.44,0.44,0.0
1,2733,69,61,3 Pointers,0.355,0.67,1.81,0.368,0.36,0.008
2,2733,69,68,2 Pointers,0.645,1.58,3.29,0.48,0.484,-0.004
3,2733,69,49,Less Than 6 Ft,0.256,0.81,1.3,0.622,0.602,0.02
4,2733,69,54,Less Than 10 Ft,0.352,0.99,1.8,0.548,0.544,0.004
5,2733,69,66,Greater Than 15 Ft,0.545,1.04,2.78,0.375,0.369,0.006
0,201961,75,75,Overall,1.0,3.2,6.96,0.46,0.446,0.014
1,201961,75,68,3 Pointers,0.45,1.27,3.13,0.404,0.365,0.039
2,201961,75,71,2 Pointers,0.55,1.93,3.83,0.505,0.502,0.003
3,201961,75,56,Less Than 6 Ft,0.213,0.93,1.48,0.631,0.622,0.008
4,201961,75,66,Less Than 10 Ft,0.316,1.23,2.2,0.558,0.562,-0.005
5,201961,75,71,Greater Than 15 Ft,0.588,1.64,4.09,0.401,0.378,0.023
0,201196,24,24,Overall,1.0,1.63,3.83,0.424,0.443,-0.019
1,201196,24,21,3 Pointers,0.489,0.33,1.88,0.178,0.349,-0.172
2,201196,24,20,2 Pointers,0.511,1.29,1.96,0.66,0.49,0.17
3,201196,24,13,Less Than 6 Ft,0.272,0.83,1.04,0.8,0.6,0.2
4,201196,24,15,Less Than 10 Ft,0.326,1.04,1.25,0.833,0.552,0.282
5,201196,24,23,Greater Than 15 Ft,0.63,0.5,2.42,0.207,0.358,-0.151
0,201980,70,70,Overall,1.0,5.01,11.0,0.456,0.46,-0.004
1,201980,70,68,3 Pointers,0.329,1.23,3.61,0.34,0.364,-0.024
2,201980,70,70,2 Pointers,0.671,3.79,7.39,0.513,0.511,0.002
3,201980,70,68,Less Than 6 Ft,0.321,2.29,3.53,0.648,0.623,0.025
4,201980,70,70,Less Than 10 Ft,0.435,2.79,4.79,0.582,0.568,0.014
5,201980,70,70,Greater Than 15 Ft,0.473,1.84,5.2,0.354,0.377,-0.023
0,1627742,57,57,Overall,1.0,4.72,10.93,0.432,0.455,-0.023
1,1627742,57,56,3 Pointers,0.429,1.46,4.68,0.311,0.358,-0.047
2,1627742,57,57,2 Pointers,0.571,3.26,6.25,0.522,0.508,0.015
3,1627742,57,53,Less Than 6 Ft,0.284,2.05,3.11,0.661,0.615,0.046
4,1627742,57,55,Less Than 10 Ft,0.352,2.33,3.84,0.607,0.565,0.042
5,1627742,57,57,Greater Than 15 Ft,0.587,2.11,6.42,0.328,0.37,-0.043
0,202324,77,77,Overall,1.0,5.29,12.0,0.44,0.474,-0.033
1,202324,77,67,3 Pointers,0.221,0.96,2.65,0.363,0.361,0.002
2,202324,77,77,2 Pointers,0.779,4.32,9.35,0.463,0.519,-0.056
3,202324,77,76,Less Than 6 Ft,0.437,2.73,5.25,0.52,0.624,-0.104
4,202324,77,76,Less Than 10 Ft,0.548,3.27,6.57,0.498,0.57,-0.072
5,202324,77,77,Greater Than 15 Ft,0.373,1.61,4.48,0.359,0.373,-0.013
0,200755,69,69,Overall,1.0,3.48,7.84,0.444,0.451,-0.007
1,200755,69,66,3 Pointers,0.414,1.17,3.25,0.362,0.362,-0.001
2,200755,69,66,2 Pointers,0.586,2.3,4.59,0.502,0.498,0.003
3,200755,69,49,Less Than 6 Ft,0.185,1.04,1.45,0.72,0.618,0.102
4,200755,69,60,Less Than 10 Ft,0.287,1.39,2.25,0.619,0.558,0.061
5,200755,69,69,Greater Than 15 Ft,0.599,1.72,4.7,0.367,0.379,-0.011
0,1626143,27,27,Overall,1.0,3.63,7.22,0.503,0.485,0.018
1,1626143,27,14,3 Pointers,0.174,0.52,1.26,0.412,0.351,0.061
2,1626143,27,27,2 Pointers,0.826,3.11,5.96,0.522,0.526,-0.004
3,1626143,27,26,Less Than 6 Ft,0.39,1.59,2.81,0.566,0.614,-0.049
4,1626143,27,26,Less Than 10 Ft,0.564,2.15,4.07,0.527,0.569,-0.042
5,1626143,27,21,Greater Than 15 Ft,0.297,0.89,2.15,0.414,0.372,0.042
0,1627982,5,5,Overall,1.0,4.2,7.0,0.6,0.46,0.14
1,1627982,5,4,3 Pointers,0.314,1.6,2.2,0.727,0.391,0.336
2,1627982,5,5,2 Pointers,0.686,2.6,4.8,0.542,0.499,0.043
3,1627982,5,3,Less Than 6 Ft,0.171,1.0,1.2,0.833,0.594,0.24
4,1627982,5,4,Less Than 10 Ft,0.257,1.2,1.8,0.667,0.56,0.107
5,1627982,5,5,Greater Than 15 Ft,0.6,2.4,4.2,0.571,0.374,0.197
0,1628404,62,62,Overall,1.0,4.56,9.98,0.457,0.454,0.003
1,1628404,62,57,3 Pointers,0.352,1.21,3.52,0.344,0.361,-0.017
2,1628404,62,60,2 Pointers,0.648,3.35,6.47,0.519,0.507,0.011
3,1628404,62,55,Less Than 6 Ft,0.313,2.03,3.13,0.649,0.62,0.03
4,1628404,62,58,Less Than 10 Ft,0.42,2.52,4.19,0.6,0.568,0.032
5,1628404,62,59,Greater Than 15 Ft,0.496,1.74,4.95,0.352,0.373,-0.022
0,201950,80,80,Overall,1.0,6.06,14.21,0.427,0.451,-0.024
1,201950,80,80,3 Pointers,0.456,2.28,6.48,0.351,0.363,-0.012
2,201950,80,80,2 Pointers,0.544,3.79,7.74,0.489,0.503,-0.014
3,201950,80,77,Less Than 6 Ft,0.215,2.05,3.06,0.669,0.612,0.058
4,201950,80,79,Less Than 10 Ft,0.281,2.34,4.0,0.584,0.562,0.023
5,201950,80,80,Greater Than 15 Ft,0.64,3.31,9.1,0.364,0.375,-0.011
0,1628366,50,50,Overall,1.0,4.8,11.46,0.419,0.452,-0.033
1,1628366,50,49,3 Pointers,0.37,1.44,4.24,0.34,0.363,-0.024
2,1628366,50,50,2 Pointers,0.63,3.36,7.22,0.465,0.5,-0.035
3,1628366,50,50,Less Than 6 Ft,0.29,1.92,3.32,0.578,0.619,-0.04
4,1628366,50,50,Less Than 10 Ft,0.41,2.42,4.7,0.515,0.558,-0.043
5,1628366,50,50,Greater Than 15 Ft,0.51,2.04,5.84,0.349,0.377,-0.028
0,203076,75,75,Overall,1.0,6.52,16.45,0.396,0.469,-0.072
1,203076,75,75,3 Pointers,0.303,1.6,4.99,0.321,0.362,-0.041
2,203076,75,75,2 Pointers,0.697,4.92,11.47,0.429,0.516,-0.087
3,203076,75,74,Less Than 6 Ft,0.395,3.33,6.49,0.513,0.62,-0.107
4,203076,75,74,Less Than 10 Ft,0.491,3.83,8.08,0.474,0.569,-0.096
5,203076,75,75,Greater Than 15 Ft,0.447,2.37,7.35,0.323,0.375,-0.052
0,1627767,51,51,Overall,1.0,3.12,5.88,0.53,0.47,0.06
1,1627767,51,32,3 Pointers,0.213,0.53,1.25,0.422,0.356,0.066
2,1627767,51,50,2 Pointers,0.787,2.59,4.63,0.559,0.517,0.042
3,1627767,51,46,Less Than 6 Ft,0.52,1.94,3.06,0.635,0.612,0.022
4,1627767,51,46,Less Than 10 Ft,0.63,2.22,3.71,0.598,0.561,0.037
5,1627767,51,38,Greater Than 15 Ft,0.303,0.73,1.78,0.407,0.365,0.041
0,203121,80,80,Overall,1.0,3.55,8.01,0.443,0.452,-0.009
1,203121,80,72,3 Pointers,0.357,1.0,2.86,0.349,0.359,-0.01
2,203121,80,79,2 Pointers,0.643,2.55,5.15,0.495,0.509,-0.014
3,203121,80,70,Less Than 6 Ft,0.279,1.44,2.24,0.642,0.62,0.022
4,203121,80,75,Less Than 10 Ft,0.393,1.81,3.15,0.575,0.568,0.008
5,203121,80,78,Greater Than 15 Ft,0.51,1.43,4.09,0.349,0.37,-0.021
0,203901,63,63,Overall,1.0,5.13,10.54,0.486,0.451,0.036
1,203901,63,61,3 Pointers,0.373,1.49,3.94,0.379,0.365,0.014
2,203901,63,63,2 Pointers,0.627,3.63,6.6,0.55,0.499,0.052
3,203901,63,59,Less Than 6 Ft,0.268,1.92,2.83,0.68,0.612,0.067
4,203901,63,61,Less Than 10 Ft,0.349,2.33,3.68,0.634,0.558,0.076
5,203901,63,63,Greater Than 15 Ft,0.535,2.21,5.63,0.392,0.38,0.011
0,203546,70,70,Overall,1.0,2.21,5.61,0.394,0.436,-0.041
1,203546,70,56,3 Pointers,0.399,0.59,2.24,0.261,0.361,-0.1
2,203546,70,69,2 Pointers,0.601,1.63,3.37,0.483,0.485,-0.002
3,203546,70,54,Less Than 6 Ft,0.247,0.93,1.39,0.67,0.596,0.074
4,203546,70,59,Less Than 10 Ft,0.328,1.09,1.84,0.589,0.54,0.049
5,203546,70,62,Greater Than 15 Ft,0.585,0.94,3.29,0.287,0.373,-0.086
0,201160,28,28,Overall,1.0,1.68,4.14,0.405,0.443,-0.038
1,201160,28,23,3 Pointers,0.414,0.46,1.71,0.271,0.353,-0.082
2,201160,28,24,2 Pointers,0.586,1.21,2.43,0.5,0.495,0.005
3,201160,28,21,Less Than 6 Ft,0.345,0.86,1.43,0.6,0.576,0.024
4,201160,28,22,Less Than 10 Ft,0.431,0.96,1.79,0.54,0.537,0.003
5,201160,28,25,Greater Than 15 Ft,0.517,0.57,2.14,0.267,0.357,-0.09
0,203944,81,81,Overall,1.0,5.3,11.4,0.465,0.469,-0.004
1,203944,81,77,3 Pointers,0.276,1.14,3.15,0.361,0.361,0.0
2,203944,81,81,2 Pointers,0.724,4.16,8.25,0.504,0.514,-0.01
3,203944,81,80,Less Than 6 Ft,0.42,2.8,4.79,0.585,0.62,-0.035
4,203944,81,81,Less Than 10 Ft,0.546,3.33,6.22,0.536,0.569,-0.034
5,203944,81,79,Greater Than 15 Ft,0.393,1.69,4.48,0.377,0.373,0.005
0,202703,55,55,Overall,1.0,5.2,11.36,0.458,0.462,-0.004
1,202703,55,55,3 Pointers,0.336,1.35,3.82,0.352,0.36,-0.008
2,202703,55,54,2 Pointers,0.664,3.85,7.55,0.511,0.513,-0.002
3,202703,55,54,Less Than 6 Ft,0.384,2.69,4.36,0.617,0.621,-0.005
4,202703,55,54,Less Than 10 Ft,0.506,3.2,5.75,0.557,0.566,-0.009
5,202703,55,55,Greater Than 15 Ft,0.44,1.73,5.0,0.345,0.371,-0.026
0,203524,12,12,Overall,1.0,3.08,6.17,0.5,0.464,0.036
1,203524,12,10,3 Pointers,0.311,0.67,1.92,0.348,0.392,-0.044
2,203524,12,12,2 Pointers,0.689,2.42,4.25,0.569,0.509,0.06
3,203524,12,10,Less Than 6 Ft,0.365,1.67,2.25,0.741,0.647,0.094
4,203524,12,10,Less Than 10 Ft,0.432,1.83,2.67,0.688,0.584,0.104
5,203524,12,11,Greater Than 15 Ft,0.446,1.17,2.75,0.424,0.373,0.051
0,1626169,69,69,Overall,1.0,3.64,8.04,0.452,0.462,-0.01
1,1626169,69,67,3 Pointers,0.398,1.19,3.2,0.371,0.359,0.012
2,1626169,69,68,2 Pointers,0.602,2.45,4.84,0.506,0.516,-0.01
3,1626169,69,60,Less Than 6 Ft,0.259,1.36,2.09,0.653,0.628,0.025
4,1626169,69,65,Less Than 10 Ft,0.357,1.67,2.87,0.581,0.578,0.003
5,1626169,69,67,Greater Than 15 Ft,0.569,1.72,4.58,0.377,0.371,0.006
0,204025,53,53,Overall,1.0,2.66,5.49,0.485,0.44,0.044
1,204025,53,46,3 Pointers,0.485,1.11,2.66,0.418,0.351,0.067
2,204025,53,50,2 Pointers,0.515,1.55,2.83,0.547,0.5,0.047
3,204025,53,37,Less Than 6 Ft,0.234,0.89,1.28,0.691,0.607,0.084
4,204025,53,42,Less Than 10 Ft,0.316,1.11,1.74,0.641,0.559,0.082
5,204025,53,48,Greater Than 15 Ft,0.601,1.34,3.3,0.406,0.367,0.039
0,202325,71,71,Overall,1.0,3.94,8.3,0.475,0.462,0.014
1,202325,71,66,3 Pointers,0.35,1.17,2.9,0.403,0.369,0.034
2,202325,71,69,2 Pointers,0.65,2.77,5.39,0.514,0.512,0.002
3,202325,71,62,Less Than 6 Ft,0.348,1.89,2.89,0.654,0.619,0.034
4,202325,71,66,Less Than 10 Ft,0.44,2.14,3.65,0.587,0.57,0.017
5,202325,71,70,Greater Than 15 Ft,0.494,1.62,4.1,0.395,0.378,0.018
0,1628429,7,7,Overall,1.0,0.57,1.57,0.364,0.424,-0.061
1,1628429,7,4,3 Pointers,0.364,0.14,0.57,0.25,0.255,-0.005
2,1628429,7,6,2 Pointers,0.636,0.43,1.0,0.429,0.486,-0.057
3,1628429,7,3,Less Than 6 Ft,0.273,0.29,0.43,0.667,0.622,0.044
4,1628429,7,3,Less Than 10 Ft,0.273,0.29,0.43,0.667,0.563,0.104
5,1628429,7,5,Greater Than 15 Ft,0.636,0.29,1.0,0.286,0.292,-0.007
0,201967,73,73,Overall,1.0,4.23,8.22,0.515,0.465,0.05
1,201967,73,59,3 Pointers,0.265,0.92,2.18,0.421,0.367,0.055
2,201967,73,72,2 Pointers,0.735,3.32,6.04,0.549,0.512,0.036
3,201967,73,69,Less Than 6 Ft,0.358,1.88,2.95,0.637,0.623,0.015
4,201967,73,72,Less Than 10 Ft,0.487,2.33,4.0,0.582,0.57,0.013
5,201967,73,70,Greater Than 15 Ft,0.42,1.49,3.45,0.433,0.376,0.057
0,202326,48,48,Overall,1.0,8.04,16.75,0.48,0.48,0.0
1,202326,48,46,3 Pointers,0.183,1.23,3.06,0.401,0.362,0.04
2,202326,48,48,2 Pointers,0.817,6.81,13.69,0.498,0.52,-0.022
3,202326,48,48,Less Than 6 Ft,0.458,4.5,7.67,0.587,0.615,-0.028
4,202326,48,48,Less Than 10 Ft,0.596,5.19,9.98,0.52,0.566,-0.046
5,202326,48,46,Greater Than 15 Ft,0.335,2.31,5.6,0.413,0.38,0.033
0,2731,26,26,Overall,1.0,3.85,8.0,0.481,0.489,-0.009
1,2731,26,17,3 Pointers,0.13,0.46,1.04,0.444,0.356,0.089
2,2731,26,26,2 Pointers,0.87,3.38,6.96,0.486,0.529,-0.043
3,2731,26,23,Less Than 6 Ft,0.486,1.92,3.88,0.495,0.629,-0.134
4,2731,26,25,Less Than 10 Ft,0.62,2.35,4.96,0.473,0.574,-0.101
5,2731,26,22,Greater Than 15 Ft,0.264,1.04,2.12,0.491,0.372,0.119
0,203580,8,8,Overall,1.0,1.38,3.13,0.44,0.433,0.007
1,203580,8,6,3 Pointers,0.32,0.38,1.0,0.375,0.347,0.028
2,203580,8,7,2 Pointers,0.68,1.0,2.13,0.471,0.488,-0.017
3,203580,8,7,Less Than 6 Ft,0.44,0.88,1.38,0.636,0.556,0.08
4,203580,8,7,Less Than 10 Ft,0.48,1.0,1.5,0.667,0.528,0.139
5,203580,8,6,Greater Than 15 Ft,0.48,0.38,1.5,0.25,0.37,-0.12
0,1628455,35,35,Overall,1.0,2.83,6.91,0.409,0.443,-0.034
1,1628455,35,31,3 Pointers,0.343,0.69,2.37,0.289,0.365,-0.076
2,1628455,35,32,2 Pointers,0.657,2.14,4.54,0.472,0.492,-0.02
3,1628455,35,26,Less Than 6 Ft,0.24,0.91,1.66,0.552,0.607,-0.055
4,1628455,35,29,Less Than 10 Ft,0.331,1.2,2.29,0.525,0.55,-0.025
5,1628455,35,33,Greater Than 15 Ft,0.57,1.34,3.94,0.341,0.376,-0.036
0,201600,17,17,Overall,1.0,2.65,5.88,0.45,0.475,-0.025
1,201600,17,11,3 Pointers,0.17,0.18,1.0,0.176,0.351,-0.175
2,201600,17,17,2 Pointers,0.83,2.47,4.88,0.506,0.518,-0.012
3,201600,17,16,Less Than 6 Ft,0.51,1.94,3.0,0.647,0.608,0.04
4,201600,17,16,Less Than 10 Ft,0.57,2.12,3.35,0.632,0.563,0.069
5,201600,17,11,Greater Than 15 Ft,0.34,0.53,2.0,0.265,0.378,-0.113
0,1627215,3,3,Overall,1.0,1.0,2.33,0.429,0.444,-0.016
1,1627215,3,0,3 Pointers,,,,,,
2,1627215,3,3,2 Pointers,1.0,1.0,2.33,0.429,0.484,-0.055
3,1627215,3,3,Less Than 6 Ft,0.571,0.67,1.33,0.5,0.606,-0.106
4,1627215,3,3,Less Than 10 Ft,0.714,0.67,1.67,0.4,0.562,-0.162
5,1627215,3,0,Greater Than 15 Ft,,,,,,
0,1626148,1,1,Overall,1.0,1.0,1.0,1.0,0.419,0.581
1,1626148,1,0,3 Pointers,,,,,,
2,1626148,1,1,2 Pointers,1.0,1.0,1.0,1.0,0.457,0.543
3,1626148,1,0,Less Than 6 Ft,,,,,,
4,1626148,1,0,Less Than 10 Ft,,,,,,
5,1626148,1,1,Greater Than 15 Ft,1.0,1.0,1.0,1.0,0.361,0.639
0,1627741,79,79,Overall,1.0,4.38,9.16,0.478,0.447,0.031
1,1627741,79,76,3 Pointers,0.385,1.22,3.53,0.344,0.367,-0.023
2,1627741,79,78,2 Pointers,0.615,3.16,5.63,0.562,0.501,0.061
3,1627741,79,72,Less Than 6 Ft,0.304,1.96,2.78,0.705,0.612,0.092
4,1627741,79,74,Less Than 10 Ft,0.398,2.25,3.65,0.618,0.558,0.06
5,1627741,79,78,Greater Than 15 Ft,0.535,1.84,4.9,0.375,0.375,0.0
0,202362,82,82,Overall,1.0,2.55,5.34,0.477,0.447,0.03
1,202362,82,75,3 Pointers,0.459,0.84,2.45,0.343,0.358,-0.015
2,202362,82,77,2 Pointers,0.541,1.71,2.89,0.591,0.504,0.087
