,CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2,201143,69,69,2 Pointers,0.75,5.01,11.51,0.436,0.512,-0.076
3,201143,69,68,Less Than 6 Ft,0.357,2.93,5.48,0.534,0.622,-0.087
4,201143,69,69,Less Than 10 Ft,0.49,3.62,7.51,0.483,0.569,-0.087
5,201143,69,69,Greater Than 15 Ft,0.427,2.25,6.55,0.343,0.374,-0.031
0,203200,72,72,Overall,1.0,4.81,10.9,0.441,0.454,-0.013
1,203200,72,70,3 Pointers,0.438,1.75,4.78,0.366,0.37,-0.004
2,203200,72,71,2 Pointers,0.562,3.06,6.13,0.499,0.504,-0.005
3,203200,72,67,Less Than 6 Ft,0.245,1.71,2.67,0.641,0.621,0.02
4,203200,72,70,Less Than 10 Ft,0.325,2.1,3.54,0.592,0.568,0.024
5,203200,72,71,Greater Than 15 Ft,0.606,2.42,6.61,0.366,0.378,-0.013
0,202714,66,66,Overall,1.0,3.32,6.91,0.48,0.433,0.047
1,202714,66,59,3 Pointers,0.419,1.2,2.89,0.414,0.348,0.065
2,202714,66,65,2 Pointers,0.581,2.12,4.02,0.528,0.486,0.042
3,202714,66,49,Less Than 6 Ft,0.241,1.18,1.67,0.709,0.601,0.108
4,202714,66,54,Less Than 10 Ft,0.322,1.36,2.23,0.612,0.543,0.07
5,202714,66,63,Greater Than 15 Ft,0.586,1.73,4.05,0.427,0.363,0.064
0,203940,3,3,Overall,1.0,1.67,3.67,0.455,0.433,0.021
1,203940,3,2,3 Pointers,0.182,0.0,0.67,0.0,0.238,-0.238
2,203940,3,3,2 Pointers,0.818,1.67,3.0,0.556,0.504,0.052
3,203940,3,3,Less Than 6 Ft,0.455,0.67,1.67,0.4,0.613,-0.213
4,203940,3,3,Less Than 10 Ft,0.455,0.67,1.67,0.4,0.561,-0.161
5,203940,3,3,Greater Than 15 Ft,0.364,0.33,1.33,0.25,0.292,-0.042
0,201960,71,71,Overall,1.0,5.39,11.34,0.476,0.466,0.009
1,201960,71,66,3 Pointers,0.283,1.21,3.21,0.377,0.367,0.01
2,201960,71,71,2 Pointers,0.717,4.18,8.13,0.515,0.513,0.002
3,201960,71,69,Less Than 6 Ft,0.395,2.72,4.48,0.607,0.63,-0.023
4,201960,71,69,Less Than 10 Ft,0.478,3.07,5.42,0.566,0.573,-0.006
5,201960,71,70,Greater Than 15 Ft,0.439,1.97,4.97,0.397,0.379,0.018
0,101150,78,78,Overall,1.0,3.67,8.31,0.441,0.445,-0.004
1,101150,78,76,3 Pointers,0.475,1.35,3.95,0.341,0.358,-0.017
2,101150,78,77,2 Pointers,0.525,2.32,4.36,0.532,0.503,0.029
3,101150,78,66,Less Than 6 Ft,0.215,1.28,1.78,0.719,0.617,0.103
4,101150,78,73,Less Than 10 Ft,0.269,1.5,2.23,0.672,0.564,0.109
5,101150,78,78,Greater Than 15 Ft,0.65,2.0,5.4,0.371,0.372,-0.001
0,201229,79,79,Overall,1.0,3.59,8.63,0.416,0.461,-0.045
1,201229,79,74,3 Pointers,0.34,0.95,2.94,0.323,0.357,-0.034
2,201229,79,79,2 Pointers,0.66,2.65,5.7,0.464,0.512,-0.047
3,201229,79,74,Less Than 6 Ft,0.331,1.56,2.86,0.544,0.619,-0.075
4,201229,79,78,Less Than 10 Ft,0.438,1.89,3.78,0.498,0.57,-0.071
5,201229,79,78,Greater Than 15 Ft,0.479,1.43,4.14,0.346,0.368,-0.022
0,2734,70,70,Overall,1.0,2.53,5.54,0.456,0.449,0.007
1,2734,70,64,3 Pointers,0.433,0.97,2.4,0.405,0.36,0.045
2,2734,70,66,2 Pointers,0.567,1.56,3.14,0.495,0.501,-0.006
3,2734,70,48,Less Than 6 Ft,0.204,0.74,1.13,0.658,0.622,0.037
4,2734,70,56,Less Than 10 Ft,0.278,0.94,1.54,0.611,0.569,0.043
5,2734,70,69,Greater Than 15 Ft,0.611,1.36,3.39,0.401,0.371,0.03
0,2746,2,2,Overall,1.0,1.5,3.0,0.5,0.491,0.009
1,2746,2,1,3 Pointers,0.333,0.5,1.0,0.5,0.34,0.16
2,2746,2,2,2 Pointers,0.667,1.0,2.0,0.5,0.58,-0.08
3,2746,2,0,Less Than 6 Ft,,,,,,
4,2746,2,1,Less Than 10 Ft,0.167,0.0,0.5,0.0,0.754,-0.754
5,2746,2,2,Greater Than 15 Ft,0.833,1.5,2.5,0.6,0.385,0.215
0,2585,69,69,Overall,1.0,3.99,7.83,0.509,0.479,0.03
1,2585,69,53,3 Pointers,0.217,0.65,1.7,0.385,0.358,0.027
2,2585,69,68,2 Pointers,0.783,3.33,6.13,0.544,0.522,0.022
3,2585,69,65,Less Than 6 Ft,0.472,2.26,3.7,0.612,0.619,-0.007
4,2585,69,68,Less Than 10 Ft,0.576,2.59,4.51,0.576,0.572,0.004
5,2585,69,62,Greater Than 15 Ft,0.356,1.17,2.78,0.422,0.375,0.047
0,2207,55,55,Overall,1.0,3.11,7.24,0.43,0.455,-0.026
1,2207,55,51,3 Pointers,0.407,0.96,2.95,0.327,0.355,-0.028
2,2207,55,54,2 Pointers,0.593,2.15,4.29,0.5,0.506,-0.006
3,2207,55,49,Less Than 6 Ft,0.294,1.47,2.13,0.692,0.613,0.08
4,2207,55,49,Less Than 10 Ft,0.382,1.67,2.76,0.605,0.561,0.044
5,2207,55,54,Greater Than 15 Ft,0.543,1.27,3.93,0.324,0.368,-0.044
0,101107,78,78,Overall,1.0,4.32,9.17,0.471,0.468,0.003
1,101107,78,75,3 Pointers,0.33,0.96,3.03,0.318,0.363,-0.045
2,101107,78,78,2 Pointers,0.67,3.36,6.14,0.547,0.515,0.032
3,101107,78,73,Less Than 6 Ft,0.337,2.04,3.09,0.66,0.622,0.038
4,101107,78,77,Less Than 10 Ft,0.424,2.42,3.88,0.624,0.57,0.053
5,101107,78,78,Greater Than 15 Ft,0.501,1.63,4.59,0.355,0.375,-0.02
0,2863,15,15,Overall,1.0,1.13,2.93,0.386,0.442,-0.055
1,2863,15,10,3 Pointers,0.386,0.27,1.13,0.235,0.343,-0.107
2,2863,15,10,2 Pointers,0.614,0.87,1.8,0.481,0.482,-0.001
