,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
Lorenzo Brown 2015,203485.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,6.0,26.0
Lorenzo Williams 2000,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Lou Amundson 2014,200811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Lou Williams 2012,101150.0,11.0,5.0,21.0,4.0,13.0,0.0,0.0,2.0,1.0,18.0,2.0,4.0,1.0,3.0,1.0,0.0,8.0,11.0,8.0,42.0
Lou Williams 2013,101150.0,11.0,10.0,17.0,7.0,7.0,0.0,0.0,3.0,1.0,10.0,1.0,2.0,2.0,3.0,0.0,0.0,5.0,4.0,9.0,24.0
Lou Williams 2014,101150.0,5.0,7.0,13.0,11.0,9.0,0.0,0.0,1.0,2.0,8.0,1.0,2.0,3.0,1.0,1.0,0.0,9.0,7.0,15.0,37.0
Louis King 2019,1629663.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Louis King 2020,1629663.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Loy Vaught 2000,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,3.0,18.0
Loy Vaught 2001,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,6.0
Luc Longley 2000,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,10.0
Luc Longley 2001,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Luc Mbah a Moute 2017,201601.0,3.0,4.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0
Luc Mbah a Moute 2018,201601.0,3.0,11.0,9.0,12.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,65.0
Lucas Nogueira 2014,203512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lucas Nogueira 2015,203512.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Lucas Nogueira 2016,203512.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,54.0
Lucas Nogueira 2017,203512.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,82.0
Lucas Nogueira 2018,203512.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
Lucious Harris 2004,446.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,10.0,9.0,7.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,2.0,1.0,7.0
Lucious Harris 2005,446.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0,15.0,7.0,2.0,1.0,0.0,2.0,4.0,4.0,0.0,2.0,2.0,3.0,10.0
Luguentz Dort 2019,1629652.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Luguentz Dort 2020,1629652.0,5.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,32.0
Luis Flores 2005,2784.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Montero 2015,1626242.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Luis Scola 2007,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,2.0,0.0,9.0,5.0,13.0,49.0
Luis Scola 2008,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,6.0,0.0,12.0,8.0,8.0,9.0,0.0,26.0,12.0,39.0,248.0
Luis Scola 2009,2449.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,14.0,8.0,0.0,11.0,12.0,11.0,8.0,0.0,49.0,15.0,91.0,225.0
Luis Scola 2010,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,17.0,7.0,4.0,14.0,30.0,11.0,13.0,0.0,57.0,27.0,130.0,281.0
Luis Scola 2011,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,5.0,4.0,8.0,29.0,7.0,11.0,0.0,38.0,20.0,61.0,116.0
Luis Scola 2012,2449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,10.0,2.0,14.0,23.0,6.0,15.0,0.0,45.0,11.0,75.0,160.0
Luka Doncic 2018,1629029.0,9.0,4.0,29.0,20.0,18.0,1.0,0.0,0.0,2.0,19.0,0.0,6.0,6.0,3.0,1.0,0.0,6.0,18.0,29.0,68.0
Luka Doncic 2019,1629029.0,3.0,2.0,78.0,43.0,33.0,11.0,1.0,1.0,2.0,47.0,0.0,4.0,13.0,6.0,1.0,0.0,6.0,26.0,84.0,237.0
Luka Doncic 2020,1629029.0,1.0,0.0,29.0,13.0,23.0,5.0,0.0,0.0,1.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,37.0,117.0
Luke Babbitt 2017,202337.0,6.0,3.0,14.0,9.0,9.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,3.0,1.0,0.0,4.0,5.0,2.0,6.0
Luke Babbitt 2018,202337.0,3.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Luke Harangody 2010,202376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
Luke Harangody 2011,202376.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0
Luke Jackson 2004,2739.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
Luke Jackson 2005,2739.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,4.0
Luke Jackson 2006,2739.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0
Luke Kennard 2017,1628379.0,0.0,3.0,9.0,10.0,9.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,7.0,7.0,4.0,10.0
Luke Kennard 2018,1628379.0,3.0,9.0,20.0,23.0,10.0,1.0,0.0,2.0,4.0,12.0,2.0,2.0,2.0,3.0,2.0,0.0,18.0,13.0,12.0,47.0
Luke Kennard 2019,1628379.0,16.0,17.0,54.0,53.0,20.0,1.0,0.0,4.0,2.0,25.0,2.0,5.0,7.0,5.0,5.0,0.0,26.0,25.0,27.0,57.0
Luke Kornet 2019,1628436.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Luke Kornet 2020,1628436.0,2.0,2.0,5.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0
Luke Ridnour 2008,2557.0,3.0,4.0,5.0,3.0,7.0,0.0,0.0,3.0,4.0,11.0,0.0,9.0,2.0,9.0,5.0,0.0,22.0,6.0,9.0,14.0
Luke Ridnour 2009,2557.0,13.0,5.0,8.0,16.0,18.0,0.0,0.0,16.0,11.0,18.0,4.0,14.0,10.0,14.0,8.0,0.0,30.0,13.0,21.0,40.0
Luke Ridnour 2010,2557.0,8.0,4.0,9.0,14.0,5.0,0.0,1.0,18.0,5.0,19.0,3.0,9.0,5.0,15.0,7.0,0.0,17.0,5.0,10.0,39.0
Luke Ridnour 2013,2557.0,2.0,3.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,2.0,4.0,11.0
Luke Ridnour 2014,2557.0,1.0,6.0,4.0,3.0,1.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,3.0
Luke Schenscher 2006,101195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,9.0
Luke Walton 2012,2575.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,4.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,3.0,3.0
