,PLAYER_ID,left_corner_3,right_corner_3,left_wing_3,right_wing_3,center_3,deep_3,heave,left_baseline_deep_2,right_baseline_deep_2,left_wing_deep_2,right_wing_deep_2,left_baseline_short_2,right_baseline_short_2,left_wing_short_2,right_wing_short_2,deep_center_2,short_center_2,floater_range,in_the_paint,restricted_area
A.C. Green 1999,920.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,1.0,0.0,4.0,1.0,3.0,4.0,0.0,3.0,4.0,5.0,36.0
A.C. Green 2000,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,0.0,3.0,7.0,6.0,2.0,0.0,12.0,7.0,7.0,38.0
A.J. Bramlett 1999,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
A.J. Guyton 2000,2062.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
A.J. Guyton 2001,2062.0,3.0,2.0,6.0,14.0,4.0,0.0,0.0,5.0,3.0,8.0,1.0,0.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,11.0
A.J. Guyton 2002,2062.0,1.0,4.0,11.0,15.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,3.0,12.0
AJ Hammons 2016,1627773.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
AJ Hammons 2017,1627773.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
AJ Price 2014,201985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
AJ Price 2015,201985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0
Aaron Brooks 2014,201166.0,1.0,1.0,12.0,14.0,12.0,0.0,0.0,2.0,1.0,4.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,4.0,19.0,40.0
Aaron Brooks 2015,201166.0,3.0,8.0,34.0,35.0,29.0,1.0,0.0,2.0,1.0,14.0,0.0,7.0,10.0,5.0,1.0,0.0,11.0,8.0,34.0,104.0
Aaron Brooks 2016,201166.0,1.0,5.0,7.0,18.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,4.0,1.0,0.0,0.0,1.0,4.0,17.0,37.0
Aaron Gordon 2014,203932.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,13.0
Aaron Gordon 2015,203932.0,4.0,8.0,5.0,1.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,5.0,9.0,100.0
Aaron Gordon 2016,203932.0,12.0,11.0,17.0,13.0,10.0,0.0,0.0,11.0,2.0,4.0,1.0,10.0,4.0,4.0,3.0,0.0,12.0,7.0,17.0,197.0
Aaron Gordon 2017,203932.0,16.0,8.0,34.0,23.0,25.0,1.0,0.0,3.0,8.0,19.0,2.0,12.0,6.0,7.0,11.0,0.0,10.0,14.0,19.0,230.0
Aaron Gordon 2018,203932.0,12.0,13.0,41.0,19.0,20.0,1.0,0.0,1.0,2.0,16.0,0.0,12.0,4.0,4.0,1.0,0.0,10.0,19.0,16.0,206.0
Aaron Gordon 2019,203932.0,14.0,14.0,22.0,26.0,22.0,1.0,0.0,2.0,5.0,14.0,0.0,7.0,7.0,6.0,3.0,0.0,9.0,26.0,23.0,217.0
Aaron Gordon 2020,203932.0,6.0,3.0,8.0,11.0,7.0,0.0,0.0,0.0,1.0,7.0,0.0,4.0,4.0,3.0,1.0,0.0,3.0,10.0,12.0,97.0
Aaron Gray 2010,201189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,29.0
Aaron Gray 2011,201189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0
Aaron Harrison 2018,1626151.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,5.0
Aaron Holiday 2018,1628988.0,0.0,0.0,5.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,6.0,2.0,4.0,15.0
Aaron Holiday 2019,1628988.0,6.0,9.0,24.0,25.0,18.0,1.0,0.0,0.0,0.0,17.0,0.0,2.0,1.0,2.0,2.0,0.0,11.0,8.0,13.0,56.0
Aaron Holiday 2020,1628988.0,1.0,4.0,9.0,7.0,5.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,11.0,27.0
Aaron Jackson 2018,1628935.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Aaron McKie 2005,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aaron McKie 2006,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aaron McKie 2007,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
Aaron Miles 2005,101223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Aaron Williams 2006,1425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,8.0,56.0
Abdel Nader 2017,1627846.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Abdel Nader 2018,1627846.0,4.0,2.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0
Acie Law 2007,201151.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,16.0
Acie Law 2008,201151.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,2.0,8.0,49.0
Acie Law 2009,201151.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0
Adam Harrington 2002,2492.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Adam Keefe 2000,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0
Adam Keefe 2001,228.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,25.0
Adam Mokoka 2020,1629690.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Adam Morrison 2009,200747.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,6.0
Adam Morrison 2010,200747.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0
Admiral Schofield 2019,1629678.0,3.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,6.0
Admiral Schofield 2020,1629678.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Adonal Foyle 1999,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0
Adonal Foyle 2000,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,40.0,75.0
Adonal Foyle 2001,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,6.0,9.0,1.0,1.0,0.0,1.0,6.0,68.0,84.0
Adonal Foyle 2002,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,8.0,0.0,1.0,0.0,1.0,8.0,57.0,106.0
Adonal Foyle 2003,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,32.0,74.0
Adonal Foyle 2004,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,25.0,51.0
Adonal Foyle 2005,1502.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,7.0,2.0,0.0,0.0,2.0,3.0,45.0,119.0
Adonal Foyle 2006,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,1.0,0.0,35.0,75.0
Adonal Foyle 2007,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0
Adonis Thomas 2014,203519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Adreian Payne 2014,203940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adreian Payne 2015,203940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Adrian Griffin 1999,1559.0,2.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,9.0,62.0
Adrian Griffin 2000,1559.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,2.0,8.0,4.0,0.0,1.0,4.0,2.0,46.0
Adrian Griffin 2001,1559.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,7.0
Al Harrington 2004,1733.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,15.0,8.0,4.0,0.0,14.0,6.0,4.0,2.0,0.0,3.0,6.0,13.0,105.0
Al Harrington 2005,1733.0,5.0,8.0,8.0,4.0,8.0,0.0,0.0,30.0,12.0,10.0,5.0,33.0,16.0,8.0,8.0,0.0,12.0,5.0,30.0,261.0
Al Harrington 2006,1733.0,11.0,4.0,11.0,10.0,6.0,0.0,0.0,31.0,19.0,17.0,5.0,29.0,8.0,14.0,6.0,0.0,9.0,8.0,21.0,153.0
Al Horford 2007,201143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,6.0,2.0,3.0,0.0,5.0,6.0,19.0,45.0
Al Horford 2008,201143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,11.0,11.0,5.0,11.0,0.0,20.0,17.0,70.0,185.0
Al Horford 2009,201143.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0,1.0,0.0,14.0,10.0,5.0,3.0,0.0,13.0,26.0,64.0,196.0
Al Horford 2010,201143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,35.0,6.0,7.0,22.0,25.0,11.0,14.0,0.0,40.0,26.0,117.0,210.0
Al Horford 2011,201143.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,6.0,3.0,8.0,12.0,9.0,5.0,0.0,38.0,11.0,34.0,109.0
Al Horford 2012,201143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,4.0,4.0,6.0,3.0,6.0,0.0,20.0,7.0,15.0,140.0
Al Horford 2013,201143.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,33.0,13.0,5.0,13.0,24.0,18.0,9.0,0.0,67.0,23.0,81.0,288.0
Al Horford 2014,201143.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,11.0,2.0,6.0,7.0,3.0,2.0,0.0,23.0,5.0,25.0,77.0
Al Horford 2015,201143.0,5.0,5.0,11.0,7.0,13.0,0.0,0.0,7.0,35.0,20.0,5.0,5.0,17.0,13.0,10.0,0.0,60.0,16.0,58.0,243.0
Al Horford 2016,201143.0,2.0,9.0,10.0,11.0,21.0,0.0,0.0,8.0,9.0,11.0,1.0,5.0,10.0,4.0,5.0,0.0,27.0,5.0,25.0,146.0
Al Jefferson 2004,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,4.0,15.0,53.0
Al Jefferson 2005,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,4.0,1.0,1.0,0.0,0.0,4.0,50.0,142.0
Al Jefferson 2006,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,1.0,0.0,2.0,2.0,46.0,146.0
Al Jefferson 2007,2744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,16.0,17.0,6.0,2.0,0.0,0.0,8.0,99.0,174.0
Al Thornton 2011,201154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,2.0,6.0,25.0
Al-Farouq Aminu 2011,202329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Al-Farouq Aminu 2012,202329.0,2.0,3.0,5.0,3.0,2.0,0.0,0.0,3.0,6.0,10.0,2.0,6.0,1.0,4.0,1.0,0.0,3.0,7.0,23.0,145.0
Al-Farouq Aminu 2013,202329.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,9.0,2.0,4.0,3.0,2.0,3.0,3.0,0.0,5.0,6.0,24.0,161.0
Al-Farouq Aminu 2014,202329.0,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,13.0,99.0
Alan Anderson 2016,101187.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Alan Anderson 2017,101187.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Alan Henderson 1999,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,10.0,12.0,1.0,1.0,0.0,1.0,4.0,16.0,87.0
Alan Henderson 2000,673.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,0.0,29.0,45.0,4.0,6.0,0.0,5.0,7.0,48.0,262.0
Alan Henderson 2001,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,7.0,31.0,97.0
Alan Henderson 2002,673.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,14.0,92.0
Alan Henderson 2003,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,11.0,1.0,3.0,0.0,1.0,2.0,6.0,55.0
Alan Henderson 2004,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
Alan Williams 2019,1626210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
Alando Tucker 2010,201169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Alec Burks 2018,202692.0,1.0,2.0,10.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,7.0,32.0
Alec Burks 2019,202692.0,7.0,2.0,7.0,3.0,6.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,6.0,24.0
Alec Peters 2017,1628409.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Peters 2018,1628409.0,3.0,1.0,6.0,3.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
Aleksandar Radojevic 2000,1893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Alen Smailagic 2019,1629346.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Alen Smailagic 2020,1629346.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.0
Alex Abrines 2016,203518.0,5.0,3.0,9.0,7.0,9.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0
Alex Abrines 2017,203518.0,13.0,13.0,26.0,30.0,13.0,0.0,0.0,4.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,27.0
Alex Abrines 2018,203518.0,9.0,13.0,28.0,25.0,13.0,0.0,0.0,0.0,2.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,21.0
Alex Abrines 2019,203518.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Acker 2009,101165.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0
Alex Caruso 2017,1627936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Alex Caruso 2018,1627936.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,26.0
Alex Caruso 2019,1627936.0,5.0,6.0,13.0,10.0,10.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,5.0,78.0
Alex Caruso 2020,1627936.0,3.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,25.0
Alex Garcia 2004,2682.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Alex Kirk 2014,203945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alex Len 2018,203458.0,5.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,95.0
Alex Len 2019,203458.0,14.0,17.0,8.0,13.0,17.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,29.0,198.0
Alex Len 2020,203458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,22.0
Alex Poythress 2018,1627816.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0
Alex Poythress 2019,1627816.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Alex Stepheson 2016,1627293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alexander Johnson 2007,200792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0
Alexander Johnson 2008,200792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,4.0,1.0,4.0,3.0,0.0,3.0,2.0,4.0,23.0
Alexey Shved 2014,203144.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexey Shved 2015,203144.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Alexis Ajinca 2013,201582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Alexis Ajinca 2014,201582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,8.0,12.0,5.0,3.0,0.0,13.0,13.0,17.0,88.0
Alexis Ajinca 2015,201582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,15.0,7.0,2.0,6.0,0.0,13.0,4.0,54.0,85.0
Alexis Ajinca 2016,201582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,5.0,5.0,2.0,8.0,0.0,16.0,6.0,16.0,64.0
Alexis Ajinca 2017,201582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,6.0,5.0,27.0
Alfonzo McKinnie 2019,1628035.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0
Alfonzo McKinnie 2020,1628035.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,36.0
Alize Johnson 2018,1628993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alize Johnson 2019,1628993.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Allan Houston 1999,275.0,8.0,5.0,8.0,11.0,6.0,0.0,0.0,27.0,12.0,17.0,1.0,34.0,13.0,9.0,11.0,0.0,11.0,9.0,12.0,31.0
Allan Houston 2000,275.0,12.0,15.0,24.0,30.0,23.0,0.0,0.0,73.0,30.0,31.0,1.0,107.0,31.0,30.0,23.0,0.0,26.0,25.0,35.0,73.0
Allan Houston 2001,275.0,12.0,6.0,25.0,30.0,25.0,0.0,0.0,64.0,27.0,38.0,7.0,75.0,33.0,30.0,25.0,0.0,27.0,21.0,34.0,53.0
Allan Houston 2002,275.0,10.0,25.0,30.0,62.0,29.0,0.0,0.0,47.0,31.0,48.0,14.0,70.0,35.0,24.0,29.0,0.0,21.0,22.0,27.0,42.0
Allan Houston 2003,275.0,14.0,30.0,56.0,41.0,23.0,0.0,0.0,82.0,33.0,68.0,10.0,103.0,36.0,35.0,24.0,0.0,17.0,14.0,42.0,33.0
Allan Houston 2004,275.0,11.0,10.0,16.0,15.0,3.0,0.0,0.0,21.0,13.0,16.0,6.0,17.0,12.0,8.0,7.0,0.0,8.0,4.0,9.0,5.0
Allan Houston 2005,275.0,3.0,2.0,2.0,8.0,3.0,0.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0
Allan Ray 2006,200810.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
Allan Ray 2007,200810.0,14.0,6.0,14.0,7.0,5.0,0.0,0.0,3.0,0.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,20.0
Allen Crabbe 2019,203459.0,3.0,2.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,8.0
Allen Crabbe 2020,203459.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Allen Iverson 2006,947.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,19.0
Allen Iverson 2007,947.0,6.0,2.0,42.0,15.0,7.0,1.0,0.0,39.0,16.0,37.0,2.0,45.0,22.0,26.0,16.0,0.0,26.0,33.0,76.0,246.0
Allen Iverson 2008,947.0,14.0,2.0,33.0,13.0,7.0,1.0,0.0,23.0,17.0,25.0,3.0,8.0,22.0,13.0,11.0,0.0,26.0,36.0,41.0,185.0
